Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,5p,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,,,,,,,,,,,,,
21.2,,,,,,,,1.831E+01,,,,,,,,,,
26.8,,,,,,,,6.996E+00,,,,,,,,,,
40.8,,,,,,2.433E-01,,1.526E+00,,,,,,,,,,
80,,,,,,2.036E-01,,3.193E-01,,,,,,,,,,
132.3,,,,,,1.167E-01,9.752E-01,1.874E-01,,,,,,,,,,
151.4,,,,,,9.800E-02,4.454E-01,1.638E-01,,,,,,,,,,
200,,,,,5.092E-01,6.700E-02,6.593E-01,1.255E-01,,,,,,,,,,
300,,,1.697E-01,,4.430E-01,3.700E-02,9.500E-01,7.900E-02,,,,,,,,,,
600,,,6.800E-02,,2.211E-01,1.200E-02,4.837E-01,3.200E-02,,,,,,,,,,
800,,,4.300E-02,2.661E+00,1.479E-01,7.800E-03,2.905E-01,2.000E-02,,,,,,,,,,
1041,,3.812E-01,2.800E-02,1.382E+00,9.700E-02,4.800E-03,1.684E-01,1.300E-02,,,,,,,,,,
1253.6,7.300E-02,3.037E-01,2.000E-02,8.717E-01,7.100E-02,3.400E-03,1.096E-01,9.300E-03,,,,,,,,,,
1486.6,5.600E-02,2.357E-01,1.500E-02,5.539E-01,5.200E-02,2.500E-03,7.200E-02,5.800E-03,,,,,,,,,,
8047.8,2.700E-03,6.100E-03,6.200E-04,2.300E-03,1.200E-03,1.000E-04,4.200E-04,1.700E-04,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+01,6.000E+00,1.000E+00,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
