parameter,value,standard_error,lower_bound,upper_bound,at_lower_bound,at_upper_bound
carbon_thickness,7.214814721299761,1.7827473341114106,2.0,15.0,False,False
carbon_roughness_fraction,0.5537132488815465,2.6271661509832813,0.0,1.0,False,False
top_lno_total_thickness,54.54380447245138,3.129858642040778,45.0,65.0,False,False
top_lno_layer1_thickness,9.730052514117967,37.804058237251645,1.01,30.0,False,False
cap_roughness_fraction,0.10716062350358463,0.5830594569552676,0.0,1.0,False,False
sto_thickness_start,13.795250940116283,0.30561320708241,13.0,18.5,False,False
lno_thickness_start,18.46216835200399,0.6484871187507288,13.0,18.5,False,False
sto_thickness_delta,0.2663750201114874,0.5108134807628824,0.0,3.0,False,False
lno_thickness_delta,1.3205943284314696,0.6294359523922671,0.0,3.0,False,False
thickness_transition_repeat,0.9750603045262455,1.1002524257926103,0.0,39.0,False,False
thickness_transition_width,10.750416980303882,3.0918014915555574,1.0,20.0,False,False
sto_roughness_first,4.999796385609821,31.992863649653692,2.0,5.0,False,False
sto_roughness_last,3.0402193364709733,74.4042743850465,2.0,5.0,False,False
lno_roughness_first,3.785575965261593,31.84302717300089,2.0,5.0,False,False
lno_roughness_last,3.388622125178086,74.9269604090848,2.0,5.0,False,False
substrate_roughness,3.057339816575821,44.37104701135264,1.0,5.0,False,False
reflectivity_angle_offset,0.29120725602031755,0.2312622790571471,-0.3,0.3,False,False
rc_angle_offset,0.27507688813589276,0.23316123678649275,-0.3,0.3,False,False
