dataset,angle_deg,calculation_angle_deg,experimental,fitted
reflectivity,12.45,12.749436058415512,0.00019893,0.00024817044404231066
reflectivity,12.5,12.799436058415512,0.00021801,0.0003339294132183857
reflectivity,12.55,12.849436058415513,0.00020529,0.00035268469023018255
reflectivity,12.6,12.899436058415512,0.00018939,0.00030937298716515716
reflectivity,12.65,12.949436058415513,0.00016236,0.00027838937948019394
reflectivity,12.7,12.999436058415512,0.00014964,0.00033976583496116684
reflectivity,12.75,13.049436058415512,0.00017985,0.0004963839114117976
reflectivity,12.8,13.099436058415513,0.00019575,0.0006549117708533387
reflectivity,12.85,13.149436058415512,0.00024027,0.0007017130287003914
reflectivity,12.9,13.199436058415513,0.00023868,0.0006135705441586984
reflectivity,12.95,13.249436058415512,0.00025617,0.0004991562238487265
reflectivity,13.0,13.299436058415512,0.00027207,0.0005192810162266298
reflectivity,13.05,13.349436058415513,0.00032613,0.0007424662085917621
reflectivity,13.1,13.399436058415512,0.00046605,0.0010621037806591185
reflectivity,13.15,13.449436058415513,0.00059643,0.001262323094895062
reflectivity,13.2,13.499436058415512,0.00074272,0.001196014204470208
reflectivity,13.25,13.549436058415512,0.00091444,0.0009385728480961452
reflectivity,13.3,13.599436058415513,0.0012436,0.000793455312268562
reflectivity,13.35,13.649436058415512,0.0019273,0.0011353576789949105
reflectivity,13.4,13.699436058415513,0.0032216,0.0021935166858306114
reflectivity,13.45,13.749436058415512,0.0051677,0.0039163651374700655
reflectivity,13.5,13.799436058415512,0.0075893,0.005992752531213489
reflectivity,13.55,13.849436058415513,0.010033,0.007988131630291898
reflectivity,13.6,13.899436058415512,0.011793,0.009489306552296083
reflectivity,13.65,13.949436058415513,0.012409,0.010189135311013429
reflectivity,13.7,13.999436058415512,0.011623,0.00992399554136101
reflectivity,13.75,14.049436058415512,0.0096914,0.008708898756718552
reflectivity,13.8,14.099436058415513,0.0071266,0.006775423834095693
reflectivity,13.85,14.149436058415512,0.004546,0.004561327446713674
reflectivity,13.899999999999999,14.199436058415511,0.0024202,0.002595863288245638
reflectivity,13.95,14.249436058415512,0.0010989,0.0012943102463362605
reflectivity,14.0,14.299436058415512,0.0005217,0.0007709812936916804
reflectivity,14.05,14.349436058415513,0.00044538,0.000806304701616026
reflectivity,14.1,14.399436058415512,0.00052806,0.001007358243803764
reflectivity,14.149999999999999,14.449436058415511,0.00055986,0.0010537811593006204
reflectivity,14.2,14.499436058415512,0.00048036,0.0008589899058807548
reflectivity,14.25,14.549436058415512,0.00034521,0.0005521841212306808
reflectivity,14.3,14.599436058415513,0.00020688,0.0003242269025236365
reflectivity,14.35,14.649436058415512,0.00011943,0.00026891588755052797
reflectivity,14.399999999999999,14.699436058415511,9.5578e-05,0.00033331468205225693
reflectivity,14.45,14.749436058415512,0.00014805,0.00039126626405804163
reflectivity,14.5,14.799436058415512,0.00016395,0.00035779931180895616
