 LaNiO3 Density=7.25
 Energy(eV), Delta, Beta
  30.  0.310286105  0.399127007
  31.5747356  0.293743819  0.343025208
  33.232132  0.277080029  0.298189729
  34.976532  0.260514498  0.259967446
  36.8124924  0.245070904  0.226082593
  38.7448235  0.227375969  0.195984095
  40.7785873  0.210423231  0.170768023
  42.9191055  0.194862694  0.148110196
  45.1719818  0.178533778  0.127961397
  47.5431175  0.162757859  0.110872135
  50.0387115  0.148075849  0.0956096798
  52.6653061  0.132697254  0.0826802775
  55.4297714  0.118613943  0.0723692179
  58.3393517  0.105572477  0.0637272
  61.4016571  0.0926616639  0.0563309602
  64.6247101  0.0797825977  0.0513851121
  68.0169373  0.069875367  0.0521586835
  71.5872269  0.0659680068  0.0493784994
  75.3449326  0.0607398488  0.0447362475
  79.299881  0.0551581159  0.0403280333
  83.4624252  0.0494081303  0.0363075472
  87.8434753  0.0434383526  0.0324217416
  92.454483  0.0369817801  0.0291158129
  97.3075409  0.0301042888  0.0266052652
  102.415329  0.0217050556  0.024557814
  107.791237  0.00923482422  0.0246430468
  113.449333 -0.0168096926  0.0410624519
  119.404427  0.0186634455  0.0892582163
  125.672104  0.0527859367  0.0599144027
  132.268799  0.0523280315  0.0396260358
  139.211761  0.0487856455  0.0272255354
  146.51915  0.0429661497  0.0184091181
  154.210129  0.0371971391  0.0135147125
  162.30481  0.0323563218  0.0101857623
  170.824387  0.0280866567  0.00795464311
  179.791153  0.024424281  0.00650116894
  189.228622  0.0213542879  0.00547531899
  199.161453  0.0187169239  0.00484384503
  209.615692  0.01661014  0.0043983059
  220.618683  0.0148231555  0.00398213044
  232.199234  0.0132825598  0.00362194586
  244.387665  0.0119241551  0.00330123398
  257.215851  0.0107440585  0.00302405911
  270.717438  0.0097092716  0.00278038881
  284.927734  0.00884029735  0.00253820047
  299.883972  0.00802441314  0.00225941325
  315.625214  0.00726203015  0.00201628916
  332.19278  0.0065688761  0.00180824101
  349.630005  0.00594307715  0.00162603601
  367.982513  0.00538266404  0.00145708444
  387.29837  0.00486578792  0.00129958068
  407.628143  0.00439198315  0.00116033258
  429.025024  0.00395656517  0.00103343057
  451.545105  0.00355496025  0.000921873958
  475.247253  0.00318504544  0.000814263767
  500.193542  0.0028177062  0.0007137098
  526.449341  0.00240789191  0.000618059479
  554.083313  0.00213582162  0.00101903942
  583.167847  0.00212534657  0.000865274575
  613.779053  0.00197795918  0.000733524328
  645.99707  0.00180167833  0.000623251952
  679.90625  0.001616047  0.000529895304
  715.595337  0.00142933801  0.000451656349
  753.157837  0.00122846849  0.000378765777
  792.692017  0.000987062347  0.000320319523
  834.301392 -1.77896763E-05  0.000270667486
  878.09491  0.000835326675  0.000879908621
  924.187195  0.000935136806  0.000732914486
  972.698914  0.000909577881  0.000618856749
  1023.75708  0.000872021832  0.000557617808
  1077.49536  0.000832436141  0.000485195167
  1134.05444  0.000784011267  0.00042461502
  1193.5824  0.000734526373  0.000372085546
  1256.23499  0.000687630556  0.000325585424
  1322.17627  0.000640896149  0.000280257431
  1391.57898  0.000593277684  0.00024090182
  1464.62476  0.000547936652  0.000207067147
  1541.50464  0.00050536904  0.000175761132
  1622.42004  0.000463133038  0.00014829039
  1707.58289  0.000423031277  0.000125123799
  1797.21606  0.000385557796  0.000105431754
  1891.5542  0.000350637623  8.87717324E-05
  1990.84424  0.000318375503  7.47519589E-05
  2095.34619  0.000288798736  6.29260103E-05
  2205.33325  0.000261663401  5.29012796E-05
  2321.09424  0.000236856635  4.44453472E-05
  2442.93115  0.000214228334  3.73172697E-05
  2571.16357  0.000193629108  3.13111668E-05
  2706.1272  0.000174900575  2.62510366E-05
  2848.17505  0.000157896924  2.19927406E-05
  2997.67944  0.000142473029  1.84093988E-05
  3155.03125  0.000128493004  1.53950077E-05
  3320.64258  0.000115829622  1.28617876E-05
  3494.94727  0.000104362771  1.07332717E-05
  3678.40137  9.39822858E-05  8.94634377E-06
  3871.48535  8.45831382E-05  7.44662339E-06
  4074.7041  7.60698385E-05  6.18917966E-06
  4288.59033  6.83486942E-05  5.13549958E-06
  4513.7041  6.13317461E-05  4.25350345E-06
  4750.63379  5.49209981E-05  3.51570793E-06
  5000.00049  4.89944032E-05  2.89918785E-06
