 LaNiO3 Density=7.25
 Energy(eV), Delta, Beta
  30.  0.310286105  0.399127007
  30.5865746  0.304689646  0.376056671
  31.1846199  0.298023403  0.35511452
  31.7943554  0.291495711  0.336499095
  32.4160156  0.285191745  0.319040954
  33.0498276  0.278876185  0.30265826
  33.6960373  0.272565752  0.287275612
  34.3548775  0.266340941  0.272725344
  35.0266037  0.26006183  0.258984298
  35.7114601  0.254020482  0.24611342
  36.4097099  0.248397693  0.233422637
  37.1216125  0.242206424  0.220677882
  37.8474312  0.235450327  0.209031075
  38.5874443  0.228778452  0.198156714
  39.3419228  0.222184092  0.188049063
  40.1111565  0.215762928  0.178498149
  40.8954315  0.209509254  0.169464603
  41.6950378  0.203552037  0.160918355
  42.5102806  0.197844997  0.15232867
  43.341465  0.191739738  0.143961295
  44.1888962  0.185520321  0.136186451
  45.0529022  0.179363579  0.128915682
  45.9337997  0.173318073  0.122055486
  46.8319206  0.167333409  0.115601555
  47.7476006  0.161491424  0.109576672
  48.6811867  0.155999437  0.10381861
  49.6330261  0.150481582  0.0979815125
  50.6034737  0.144739851  0.0924588516
  51.5928993  0.138830379  0.0873729438
  52.6016693  0.133046225  0.082943894
  53.6301651  0.127575606  0.0788378492
  54.6787682  0.122280933  0.0749654248
  55.7478714  0.117093749  0.0713125244
  56.8378868  0.112061217  0.0679956898
  57.9492073  0.107221045  0.0648098737
  59.0822601  0.102438748  0.0617381893
  60.2374649  0.097617127  0.0588264167
  61.4152603  0.092605412  0.0563065857
  62.6160851  0.0877810493  0.0542339161
  63.8403778  0.0829573497  0.0522732399
  65.088623  0.0778542161  0.0511611886
  66.3612671  0.0734246299  0.0512732267
  67.6587906  0.0703612864  0.0519125685
  68.9816971  0.0688004568  0.0521678962
  70.3304596  0.0674938336  0.0507224239
  71.7055969  0.0658207461  0.0492544733
  73.1076202  0.0640373453  0.0474493764
  74.537056  0.0619275719  0.0456733257
  75.9944382  0.0598131493  0.0440060496
  77.4803314  0.0577260703  0.0423427001
  78.9952621  0.0555899404  0.040657118
  80.5398102  0.0533877388  0.0390596986
  82.1145706  0.0512085855  0.0375528634
  83.7201157  0.0490685068  0.0360599123
  85.3570557  0.0468777902  0.0345278718
  87.0259933  0.0445703864  0.0330800563
  88.7275772  0.0422219969  0.0317342319
  90.4624176  0.0398199074  0.0304531418
  92.2311935  0.0373083465  0.0292485207
  94.0345383  0.0347205736  0.0282516181
  95.8731537  0.0321501009  0.0273223333
  97.7477112  0.0294716638  0.0263893902
  99.6589203  0.026490178  0.0254790056
  101.607498  0.0231425911  0.0247973651
  103.594185  0.0194073021  0.0242556799
  105.619713  0.0149511667  0.0241409875
  107.684845  0.00953808706  0.0246028397
  109.790344  0.00233121961  0.0259976815
