evaluation,objective,C 1s_raw,La 4d_raw,Ni 3p_raw,C 1s_weighted,La 4d_weighted,Ni 3p_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,top_lno_thickness,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,cap_roughness,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,rc_angle_offset
1.000000000000000000e+00,2.114220816062811412e-02,1.064993527310932782e-02,2.321149784196108439e-03,2.951263723828375252e-03,5.324967636554663909e-03,6.963449352588324884e-03,8.853791171485126191e-03,2.338571400003274903e+00,0.000000000000000000e+00,2.316383199999108911e+00,1.052999868988990784e-04,2.206850002403371036e-02,2.369296426188341229e+02,1.670525587376522125e+01,1.686882132124087974e+01,1.229390504710329068e+00,7.289693161248607112e-01,3.611447471329686465e+01,1.993522894719073690e+01,4.477710609721020418e+00,3.918931360569128941e+00,2.853668538707389679e+00,4.743840854531024220e+00,2.523580582008904116e+00,4.874080064873924201e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.999310491063882242e-02,1.024741185667808231e-02,2.120094237754987024e-03,2.836372089678273686e-03,5.123705928339041156e-03,6.360282713264961071e-03,8.509116269034821059e-03,2.212524600006872788e+00,0.000000000000000000e+00,2.176728899998124689e+00,3.860000288113951683e-05,3.574829999706707895e-02,1.946221744567526173e+02,1.780362933835560568e+01,1.347538853388701874e+01,2.170805409876442660e+00,1.051434828014977674e+00,1.324602679370932012e+00,6.613299761973375546e+00,1.330097644238153798e+00,4.177862483349651157e+00,3.118503383185603273e+00,4.027992746369910115e+00,4.950941479449536331e+00,2.926120843074785149e+00,2.475233003598120152e-01
3.000000000000000000e+00,1.322934062476794140e-02,5.612942710157820675e-03,1.549561428154511058e-03,1.924728328408499729e-03,2.806471355078910337e-03,4.648684284463532740e-03,5.774184985225499188e-03,2.091404500009957701e+00,0.000000000000000000e+00,2.076043800014303997e+00,2.909998875111341476e-05,1.532370000495575368e-02,1.689876344213083712e+02,1.381385632258807838e+01,1.798997046924811372e+01,2.052975202384609510e+00,2.873186189548301073e+00,1.778598600490285264e+01,1.169968161281486019e+01,4.205061529136008502e+00,4.829532856857919221e+00,2.670077844930386135e+00,4.108819328355476586e+00,3.499835255844066850e+00,1.810642892604121590e+00,7.761874030345738973e-02
4.000000000000000000e+00,9.815081283852602687e-03,3.999602944013947413e-03,1.038928396393628585e-03,1.566164874221581075e-03,1.999801472006973706e-03,3.116785189180885755e-03,4.698494622664743658e-03,1.848839000012958422e+00,0.000000000000000000e+00,1.831538300000829622e+00,3.029999788850545883e-05,1.726140000391751528e-02,1.644298730292364894e+02,1.329123340073543069e+01,1.390402415619516496e+01,2.598679713934232804e+00,1.122860754592285570e-01,8.488024013926850131e+00,1.974466183078257231e+01,1.691368751748670629e+00,2.364811401628164500e+00,3.636390806882984439e+00,3.265173303737679333e+00,3.824774169935992951e+00,4.157705902908389817e+00,2.560446210692712277e-01
5.000000000000000000e+00,1.532030020835556221e-02,7.197690836830973951e-03,1.663056263104043539e-03,2.244095333542648132e-03,3.598845418415486976e-03,4.989168789312130835e-03,6.732286000627944397e-03,5.308495400007814169e+00,0.000000000000000000e+00,5.274279100005514920e+00,9.400001727044582367e-05,3.409939998527988791e-02,1.768575779814995030e+02,1.467328917835560809e+01,1.705659770095563488e+01,2.786749485056450037e+00,6.171705664075467779e-02,3.650992014374447336e+01,1.184426582357434299e+01,1.609285446532746189e+00,2.791708120685533423e+00,4.452759123657644480e+00,4.177584492293919816e+00,2.043495848033652695e+00,2.772798276569024445e+00,4.123541886368398135e-02
6.000000000000000000e+00,2.066582966264750645e-02,1.030914380538599726e-02,2.318358987616513274e-03,2.852060265701655568e-03,5.154571902692998628e-03,6.955076962849539822e-03,8.556180797104967137e-03,6.467265600018436089e+00,0.000000000000000000e+00,6.379603100009262562e+00,8.279999019578099251e-05,8.756220000213943422e-02,2.000696804547653187e+02,1.742634246341908977e+01,1.525621666584315328e+01,1.457653993160539785e-01,1.713974672634526852e+00,1.029939764313747830e+01,1.417702163953503458e+01,4.639354665329399552e+00,3.720179464505701805e+00,3.909590426978977185e+00,3.742303329589372840e+00,2.941344944270173123e+00,3.105350154810479157e+00,8.744364650557467922e-02
7.000000000000000000e+00,1.046432494918355174e-02,4.390827451283306655e-03,1.096617032712400748e-03,1.659686708468232274e-03,2.195413725641653328e-03,3.289851098137202244e-03,4.979060125404696606e-03,5.914514200005214661e+00,0.000000000000000000e+00,5.840623800002504140e+00,6.479999865405261517e-05,7.380529999500140548e-02,1.733218665747880038e+02,1.333624170825077115e+01,1.625513920848415239e+01,1.655962546359758480e+00,2.544046817971351793e+00,2.970005665619174096e+01,8.105830030947153375e+00,3.173258394931288695e+00,4.863473340837451531e+00,2.388187474848005643e+00,2.053927887882258663e+00,3.688211476988443316e+00,2.397385252881856665e+00,8.646530212443009900e-02
8.000000000000000000e+00,1.296527733560428990e-02,5.286734216718398834e-03,1.451967116411931281e-03,1.988669626003098951e-03,2.643367108359199417e-03,4.355901349235793626e-03,5.966008878009297287e-03,6.023105900007067248e+00,0.000000000000000000e+00,5.935175699996761978e+00,7.759997970424592495e-05,8.783239999320358038e-02,1.781786158117135699e+02,1.533890998666606187e+01,1.508697751741276427e+01,3.881768730165729986e-01,1.809980488377586738e+00,2.808180312359922937e+00,7.875520823249284597e+00,2.818752197818631622e+00,4.708121095385936705e+00,2.808421455821268342e+00,2.273657694532452922e+00,4.087022093685794388e+00,3.755235878225114288e+00,-2.714542641971586789e-01
9.000000000000000000e+00,1.304334364589654870e-02,7.368079588193069372e-03,1.366995817356894813e-03,1.752772133243110219e-03,3.684039794096534686e-03,4.100987452070684221e-03,5.258316399729330223e-03,6.750340700004016981e+00,0.000000000000000000e+00,6.680957300006411970e+00,6.009999196976423264e-05,6.930790000478737056e-02,1.818611432931766956e+02,1.803167475103358441e+01,1.781385468152598150e+01,1.576814300063410279e+00,7.085151359353778489e-01,5.143890784524946191e+00,1.139414761459529224e+01,4.494850510380692832e+00,3.944683899986014985e+00,3.292196576178252343e+00,3.227996428547970531e+00,4.358835824819821347e+00,2.051952880705809612e+00,-1.316911613113685153e-01
1.000000000000000000e+01,8.699126365373502021e-03,3.422979420794030735e-03,8.964660741744982005e-04,1.432746144150997495e-03,1.711489710397015368e-03,2.689398222523494385e-03,4.298238432452992919e-03,6.491279600013513118e+00,0.000000000000000000e+00,6.259788499999558553e+00,1.430000120308250189e-04,2.313170999987050891e-01,1.523047985152560102e+02,1.669854655716256531e+01,1.378749525967073097e+01,2.470615024486843558e-01,2.013396471749972161e+00,2.879615481466400695e+01,1.241823070178380561e+01,1.212155973664247099e+00,2.855798402486499299e+00,4.244157138172786503e+00,3.244773691605214783e+00,2.410273599091591556e+00,3.000956801494241599e+00,-2.073407376123042878e-01
