evaluation,objective,reflectivity_raw,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,top_lno_thickness,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,cap_roughness,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,reflectivity_angle_offset
1.000000000000000000e+00,1.082731032202036481e+00,1.082731032202036481e+00,1.082731032202036481e+00,1.467456899990793318e+00,1.453939400002127513e+00,0.000000000000000000e+00,5.000000237487256527e-05,1.345590001437813044e-02,2.000000000000000000e+02,1.500000000000000000e+01,1.650000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+01,8.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,6.523482294928476533e-01,6.523482294928476533e-01,6.523482294928476533e-01,1.808313099987572059e+00,1.791488599992590025e+00,0.000000000000000000e+00,5.629999213851988316e-05,1.675799998338334262e-02,2.107341328542986787e+02,1.772688708106824862e+01,1.791140480199173624e+01,5.374604382947334447e-01,2.275752010646073575e+00,2.931479903871310455e+01,1.253952353995296320e+01,4.176085401821534759e+00,3.164128952965548081e+00,3.021041557975929770e+00,3.985736481065663916e+00,4.716643394347560303e+00,3.880122091086535274e+00,-1.704463196015043591e-02
3.000000000000000000e+00,2.215077077207203982e-01,2.215077077207203982e-01,2.215077077207203982e-01,1.530304899992188439e+00,1.511075499991420656e+00,0.000000000000000000e+00,4.879999323748052120e-05,1.917260000482201576e-02,1.997005333601295547e+02,1.545446405119851008e+01,1.591816484862339998e+01,2.979739934416401503e+00,1.843362302146862364e+00,7.031963139881737490e+00,1.473450397804439937e+01,4.756426194888096148e+00,3.615164397309103439e+00,3.410413571415178424e+00,3.873297581041258653e+00,4.069334416758172424e+00,2.155064132029218982e+00,-2.682980641333055916e-01
4.000000000000000000e+00,1.173295719571104678e+00,1.173295719571104678e+00,1.173295719571104678e+00,1.510146299988264218e+00,1.495889900019392371e+00,0.000000000000000000e+00,3.609998384490609169e-05,1.421379999374039471e-02,2.287670215566286913e+02,1.589214121528436507e+01,1.408257383790944495e+01,1.785611822972938523e+00,1.629250455854733381e+00,1.760815778907725715e+01,1.072000254061750368e+01,3.672761768103004698e+00,2.355068063295901570e+00,2.334579103713467774e+00,4.509945578677551303e+00,2.815866588286974004e+00,3.472452840073271485e+00,5.379549675532468989e-02
5.000000000000000000e+00,3.488778472393873065e-01,3.488778472393873065e-01,3.488778472393873065e-01,1.497718400001758710e+00,1.480836900009308010e+00,0.000000000000000000e+00,4.749998333863914013e-05,1.682619997882284224e-02,2.186577456030813664e+02,1.465120377778613481e+01,1.643150707253411369e+01,2.667817036658515772e-01,1.612856684726599710e+00,2.602455117723134315e+00,6.315867724198345634e+00,1.444774439516218756e+00,3.629663919246050252e+00,3.876579175993488668e+00,3.490704270424393574e+00,4.143110355263035061e+00,1.825551961415608604e+00,2.956743207245819405e-01
6.000000000000000000e+00,4.609794011953966542e-01,4.609794011953966542e-01,4.609794011953966542e-01,1.596556000004056841e+00,1.577224100008606911e+00,0.000000000000000000e+00,4.799998714588582516e-05,1.927590000559575856e-02,1.677719650269337137e+02,1.847722789501491292e+01,1.593491325995973540e+01,2.725432267032275591e-01,8.265140147373946089e-01,7.252207873378932135e+00,9.555878152706254625e+00,2.696223173882692947e+00,2.008731958067120349e+00,3.511570747732523312e+00,3.387483471155711356e+00,4.377270817420001237e+00,1.049813684069707875e+00,1.487674377815799143e-01
7.000000000000000000e+00,8.973509926018384819e-01,8.973509926018384819e-01,8.973509926018384819e-01,1.300247200008016080e+00,1.286890400020638481e+00,0.000000000000000000e+00,7.120001828297972679e-05,1.327799999853596091e-02,2.490472175976485119e+02,1.404329090582333883e+01,1.374058828880665928e+01,5.432821115833792458e-01,8.935492945682690924e-02,1.555367456613463339e+01,4.172044839644604153e+00,1.159950721126771889e+00,4.892332700578629456e+00,3.075131944394143169e+00,2.081261264977738001e+00,3.636519502005533866e+00,4.108745061176052538e+00,3.957448393836948686e-02
8.000000000000000000e+00,9.528223665811800247e-01,9.528223665811800247e-01,9.528223665811800247e-01,1.599162099999375641e+00,1.581205599999520928e+00,0.000000000000000000e+00,6.900000153109431267e-05,1.787879999028518796e-02,1.949197897134198740e+02,1.840223211351148080e+01,1.589226917081649937e+01,2.657068043215270237e+00,1.895810927667306744e+00,4.346422165168691620e+00,9.288762008538222759e+00,1.869818154254702103e+00,3.265056373661463063e+00,3.892058647419409212e+00,3.135480646661612969e+00,2.064209984583408541e+00,4.914903738182327508e+00,1.550613760208958691e-01
9.000000000000000000e+00,5.605496452863492074e-01,5.605496452863492074e-01,5.605496452863492074e-01,1.451424600003520027e+00,1.437556300021242350e+00,0.000000000000000000e+00,5.720002809539437294e-05,1.380119999521411955e-02,1.531185847124287704e+02,1.625742406272878071e+01,1.620725963486015431e+01,2.491363658258055835e+00,2.211707179999943040e+00,3.548659953460999361e+01,1.592037772581009136e+01,2.586099466350862741e+00,2.994964074049025093e+00,3.306265947303134389e+00,2.779509888610219193e+00,4.744357535604068588e+00,1.839129125478249582e+00,-1.124282101202277173e-01
1.000000000000000000e+01,2.789500897142556668e-01,2.789500897142556668e-01,2.789500897142556668e-01,1.502178499998990446e+00,1.485484300006646663e+00,0.000000000000000000e+00,4.799998714588582516e-05,1.663570001255720854e-02,1.709411071425730597e+02,1.598051787940433321e+01,1.497236846525981591e+01,2.693173354589921686e+00,1.863915205050737711e+00,2.260859076953262825e+00,9.830530310379520742e+00,1.712464410419749505e+00,4.271021565323831481e+00,4.974264462477206550e+00,4.965187952830160789e+00,2.959020547863854933e+00,4.885998154560259543e+00,1.493099025632211863e-01
