evaluation,objective,C 1s_raw,La 4d_raw,Ni 3p_raw,reflectivity_raw,C 1s_weighted,La 4d_weighted,Ni 3p_weighted,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,carbon_thickness,carbon_roughness_fraction,top_lno_total_thickness,top_lno_layer1_thickness,cap_roughness_fraction,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,reflectivity_angle_offset,rc_angle_offset
1.000000000000000000e+00,5.173917380821029671e-02,1.071510549076261538e-02,1.776724603769431077e-03,2.622030687384627103e-03,3.687261687707423796e-01,5.357552745381307692e-03,5.330173811308293666e-03,7.866092062153880876e-03,3.318535518936681361e-02,1.461433999938890338e-01,3.169350000098347664e-02,6.925350002711638808e-02,1.315000117756426334e-04,4.504299996187910438e-02,2.000000000000000000e+00,1.428571428571428492e-01,5.000000000000000000e+01,5.000000000000000000e+00,4.249999999999999889e-01,1.492999999999999972e+01,1.578999999999999915e+01,2.990000000000000213e+00,1.989999999999999991e+00,1.899999999999999911e+00,1.898000000000000043e+01,3.080000000000000071e+00,2.779999999999999805e+00,3.660000000000000142e+00,3.319999999999999840e+00,3.250000000000000000e+00,1.529999999999999971e-01,2.900000000000000147e-02
2.000000000000000000e+00,1.303721992156820497e-01,3.606817621101056446e-03,1.016902771917996837e-03,1.568086743990085253e-03,1.342375798415636368e+00,1.803408810550528223e-03,3.050708315753990728e-03,4.704260231970255543e-03,1.208138218574072720e-01,1.168084000237286091e-01,2.413720003096386790e-02,4.719030001433566213e-02,8.219992741942405701e-05,4.537959996378049254e-02,7.800882679377839857e+00,8.733871524282920129e-01,4.672868557777097465e+01,2.198721627743935869e+01,3.504782760049925394e-01,1.318680294196256675e+01,1.462490256267650324e+01,2.475732331786154039e-01,2.177862483349651157e+00,1.454054398141284210e+01,1.384395406034276199e+01,4.950941479449536331e+00,3.444590632306089084e+00,4.737616501799060131e+00,2.569629032639250799e+00,1.591895507336784199e+00,2.443604148270671073e-01,1.105950404769219242e-01
3.000000000000000000e+00,9.285220740192762223e-02,3.404559237305248513e-03,1.037084950002732263e-03,1.605904331004873913e-03,9.246773326694687212e-01,1.702279618652624256e-03,3.111254850008196571e-03,4.817712993014621956e-03,8.322095994025217880e-02,1.112694000476039946e-01,2.390979998745024204e-02,4.820349998772144318e-02,7.850001566112041473e-05,3.906199999619275331e-02,1.445047348804263798e+01,4.560509232026372928e-01,5.626282275033143065e+01,2.423868343241321810e+01,9.431776189526397403e-01,1.422847604903904184e+01,1.686616876865170411e+01,1.499835255844066850e+00,6.079821694530911369e-01,2.454521811972472989e+01,3.741675875554930197e+00,2.158854582219325469e+00,2.493104085197362707e+00,4.598679713934233249e+00,2.112286075459228751e+00,1.870566565530958902e+00,2.919366893931339413e-01,-1.962946872376993834e-01
4.000000000000000000e+00,6.321886440846931354e-02,6.079589465073974817e-03,1.435740025125156315e-03,1.998630009495723156e-03,5.541773285785521752e-01,3.039794732536987409e-03,4.307220075375468513e-03,5.995890028487169468e-03,4.987595957206969466e-02,1.003332000109367073e-01,2.419359999476000667e-02,4.530139995040372014e-02,7.590005407109856606e-05,3.074740001466125250e-02,3.580849407055379352e+00,5.454636022943281093e-01,5.343448869158453363e+01,1.864340106214814696e+01,7.894264757270975652e-01,1.809707569313498610e+01,1.447716678898247267e+01,9.127031881939680069e-01,2.212689655066708561e+00,3.622774330573385271e+01,1.390874692058112982e+00,4.808455395672652344e+00,3.712252498459106764e+00,2.456964084899559531e+00,2.791708120685533423e+00,4.270345498210192048e+00,1.355168984587839520e-01,-2.913008303932694276e-01
5.000000000000000000e+00,1.223841641917466361e-01,3.526278851871693723e-03,1.018115618533775406e-03,1.563778122974139812e-03,1.254170483792078405e+00,1.763139425935846862e-03,3.054346855601326217e-03,4.691334368922419652e-03,1.128753435412870459e-01,1.043840999482199550e-01,2.362170000560581684e-02,4.713109997101128101e-02,7.919996278360486031e-05,3.353379998588934541e-02,7.761594398849329224e+00,5.687256981061399319e-01,5.501393609095306658e+01,2.434084872991261506e+01,4.102212119714823135e-01,1.326723656541276597e+01,1.614228689982996556e+01,7.922613571644214758e-01,2.080582364137110396e+00,3.548370798696164741e+01,1.189446994186944373e+01,3.909590426978977185e+00,3.742303329589372840e+00,2.941344944270173123e+00,3.579012616107859479e+00,3.582957643370497713e+00,-1.600688005512720391e-01,-2.633190863726431741e-01
6.000000000000000000e+00,2.040398363067722973e-02,3.920724060436988311e-03,8.966136127349066389e-04,1.425446896606493612e-03,1.275271119159392674e-01,1.960362030218494155e-03,2.689840838204719808e-03,4.276340689819481053e-03,1.147744007243453428e-02,1.287239999510347843e-01,2.795889996923506260e-02,6.929630000377073884e-02,8.140003774315118790e-05,3.137290000449866056e-02,9.693965401871636800e+00,5.519875154532528638e-01,6.196031211980901787e+01,2.308704211443586374e+01,3.739910542603765431e-01,1.598823029303052223e+01,1.824970112486866114e+01,3.881874748480057535e-01,5.392788788225856556e-02,2.194674920084976577e+01,7.637579951188818050e+00,3.932326510622150550e+00,2.845358474351407096e+00,3.275769083636033585e+00,3.138351373134234734e+00,1.517569164022097183e+00,6.199609767551733652e-02,-2.567972259636934762e-01
7.000000000000000000e+00,2.427133501431919319e-02,4.300189459229612939e-03,6.423687483549895627e-04,1.044791706044448810e-03,1.895528769056230023e-01,2.150094729614806469e-03,1.927106245064968797e-03,3.134375118133346429e-03,1.705975892150607062e-02,1.474999000784009695e-01,3.466669999761506915e-02,6.378030002815648913e-02,8.239998714998364449e-05,4.895490000490099192e-02,6.704303721170563612e+00,4.546880494546579055e-01,6.305414063590625062e+01,8.822046001419522554e+00,9.121923151081769154e-02,1.682620717175728942e+01,1.678844933255953364e+01,1.427286790142064388e-01,9.558342987953010184e-01,3.567914823460179008e+01,1.762967980890793029e+01,3.576814300063410279e+00,2.708515135935377849e+00,2.395683906501918869e+00,3.641181202304519804e+00,4.494850510380692832e+00,8.893677999720300820e-02,-4.156068476434959802e-02
8.000000000000000000e+00,8.825644002208926642e-02,3.849012957047591530e-03,9.692639102183861705e-04,1.517007499783627148e-03,8.763679923728826537e-01,1.924506478523795765e-03,2.907791730655158620e-03,4.551022499350881878e-03,7.887311931355943384e-02,1.327508999384008348e-01,2.792009996483102441e-02,5.122580000897869468e-02,8.809997234493494034e-05,5.350140004884451628e-02,7.321317857041205635e+00,7.862786082732737825e-01,5.025976440352904717e+01,9.142122055972377481e+00,2.304798515256001670e-02,1.669854655716256531e+01,1.378749525967073097e+01,2.470615024486843558e-01,2.013396471749972161e+00,2.879615481466400695e+01,1.241823070178380561e+01,2.159116980248185325e+00,2.855798402486499299e+00,4.244157138172786503e+00,3.244773691605214783e+00,1.547031465455455113e+00,1.435202241362176778e-04,-2.073407376123042878e-01
9.000000000000000000e+00,4.147280647018319194e-02,4.808240365242359010e-03,6.021065682133828513e-04,1.108495966565956102e-03,3.770764298135999559e-01,2.404120182621179505e-03,1.806319704640148554e-03,3.325487899697868524e-03,3.393687868322399492e-02,1.045746000017970800e-01,2.412849996471777558e-02,4.825609998079016805e-02,9.350001346319913864e-05,3.207719995407387614e-02,2.992130516954287778e+00,9.223506025234010641e-01,4.843556487955591194e+01,1.576790881624972940e+01,1.951472540775400222e-01,1.596758852492970249e+01,1.740257465720908669e+01,5.574851895311406791e-01,9.400917293430122168e-01,3.197602297418546513e+00,1.264897454046992564e+01,2.996776955231394979e+00,4.708830482862925493e+00,3.686993575884811580e+00,3.240516592716780941e+00,1.989901867889880771e+00,2.114239774788839177e-01,4.405730955365855239e-02
1.000000000000000000e+01,2.869208854573698092e-02,9.047349054948604363e-03,2.360929890536911033e-03,2.789091543142558326e-03,9.687055241360302549e-02,4.523674527474302182e-03,7.082789671610733098e-03,8.367274629427674110e-03,8.718349717224271531e-03,1.034332999843172729e-01,2.534429996740072966e-02,4.450379998888820410e-02,2.516999957151710987e-04,3.330949996598064899e-02,1.035813255714731795e+01,9.128459654074534413e-01,5.700435527323833185e+01,1.819699286426695650e+01,6.421826313615613957e-01,1.563096739009418812e+01,1.748026530911317877e+01,1.514490838704042996e+00,1.266712246472901249e-03,1.144967109087526858e+00,1.837722549338929312e+01,2.487715662475554090e+00,2.686399258419004177e+00,4.703895822419113415e+00,4.893998883890621876e+00,3.721490729262038055e+00,-4.465318492773451275e-02,2.493785173297827229e-01
1.100000000000000000e+01,1.063757917780104867e-01,3.643487574399429003e-03,1.201907645126368230e-03,1.753922294410031066e-03,1.063183979691128656e+00,1.821743787199714502e-03,3.605722935379104474e-03,5.261766883230093415e-03,9.568655817220157733e-02,1.047895000665448606e-01,2.159369998844340444e-02,4.816730000311508775e-02,1.095000188797712326e-04,3.488649998325854540e-02,1.483793984701951274e+01,6.103793515092094113e-01,4.840823396293551895e+01,8.586524294312695815e+00,9.798623708043788239e-02,1.588167355847588347e+01,1.363317641469957486e+01,2.691690056741943504e+00,6.727722532034723368e-01,1.995392717586501874e+01,6.818730623404564817e+00,2.264045818999230075e+00,2.299675210621558996e+00,2.027243526505335236e+00,3.948814001329749246e+00,4.958328997030257312e+00,-2.929080250141848918e-01,-7.071404045003967798e-02
1.200000000000000000e+01,2.045012498387127342e-01,3.240915955466506723e-03,8.420914027106558364e-04,1.354731774180022467e-03,2.181003581447860551e+00,1.620457977733253362e-03,2.526274208131967618e-03,4.064195322540067185e-03,1.962903223303074374e-01,9.745310002472251654e-02,2.180099999532103539e-02,4.303770000115036964e-02,1.266000326722860336e-04,3.247039997950196266e-02,5.238325167249286096e+00,1.988762248384848275e-01,6.371331464870873162e+01,2.502401413320752610e+00,7.644904025301031414e-01,1.387792716349196098e+01,1.464943931948016420e+01,1.013647588238001385e+00,1.058998203944786942e+00,6.071125948987691423e+00,1.950409433198371900e+01,4.708510815476918410e+00,3.637620251479744660e+00,2.529566977649299275e+00,3.098663399170751731e+00,4.639638469547124444e+00,-1.228866758377337720e-01,-8.251151740875692364e-02
1.300000000000000000e+01,1.107592314172169967e-01,3.469896428483347853e-03,1.013103502362695503e-03,1.554586752865218897e-03,1.125791249303239816e+00,1.734948214241673926e-03,3.039310507088086727e-03,4.663760258595656474e-03,1.013212124372915857e-01,9.636690001934766769e-02,2.124829997774213552e-02,4.427620000205934048e-02,1.809999812394380569e-04,3.064160002395510674e-02,9.582118546381643398e+00,7.568197905240666712e-01,4.893663674318604961e+01,1.330337399612202098e+01,4.584118353298830550e-01,1.346802385974999616e+01,1.571453360387112497e+01,1.228823038172826898e+00,1.031273279828637923e+00,1.261880409560983729e+01,1.370347833207374499e+01,4.534332757780816792e+00,3.734651517428812184e+00,2.638088284071305356e+00,3.810174185497729571e+00,4.102282515517700290e+00,1.660331317428607734e-01,1.645841971923771019e-01
1.400000000000000000e+01,9.798134711653555540e-02,4.125372071515968041e-03,1.002587026568736890e-03,1.545783904194015460e-03,9.808172032054367495e-01,2.062686035757984020e-03,3.007761079706210670e-03,4.637351712582046814e-03,8.827354828848930912e-02,1.067681999411433935e-01,2.367849997244775295e-02,5.104019999271258712e-02,1.078999484889209270e-04,3.191660001175478101e-02,4.518593038966393749e+00,7.203011393325977618e-01,6.214851997986674803e+01,1.062244698232770190e+01,4.844297583818609754e-01,1.696651973406703817e+01,1.460445408633582964e+01,1.391275433049153243e+00,2.317374224699485730e+00,2.913653480453870515e+01,1.612885944390887971e+01,2.873322486404002341e+00,4.272421146814371795e+00,4.890913990460020067e+00,4.035289487798291219e+00,3.675561393077526162e+00,-1.944612081467254061e-01,-1.933120791725282117e-01
1.500000000000000000e+01,1.641537274063002705e-02,1.566395436566789387e-03,4.145620541684908659e-04,9.309222333022740270e-04,1.288413573326037675e-01,7.831977182833946933e-04,1.243686162505472544e-03,2.792766699906822081e-03,1.159572215993433936e-02,1.563633999903686345e-01,3.070619999198243022e-02,6.619409995619207621e-02,1.532000023871660233e-04,5.929260002449154854e-02,9.741274158998272981e+00,1.747378791278995369e-01,5.589716515803083041e+01,2.152826196303853834e+01,7.556155826168254874e-01,1.602747360617338046e+01,1.643465010326047704e+01,1.025106424981907072e+00,1.633067634392059597e+00,7.946291388949032530e+00,1.700242266908156807e+01,3.246236506490236540e+00,2.416820710856207644e+00,3.859798946951073173e+00,4.991477977791250353e+00,2.254015827342630729e+00,4.157013443441154310e-02,1.048350608394349459e-02
