evaluation,objective,C 1s_raw,La 4d_raw,Ni 3p_raw,C 1s_weighted,La 4d_weighted,Ni 3p_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,carbon_thickness,carbon_roughness,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,cap_roughness,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,rc_angle_offset
1.000000000000000000e+00,2.302105630729819191e-02,1.199269989529551383e-02,2.268238656383985037e-03,3.406663463499493439e-03,5.996349947647756917e-03,6.804715969151955111e-03,1.021999039049848075e-02,3.197537900006864220e+00,0.000000000000000000e+00,3.183863500016741455e+00,9.549999958835542202e-05,1.356459999806247652e-02,1.000000000000000000e+01,2.000000000000000000e+00,1.478030000000000044e+01,1.767060000000000031e+01,0.000000000000000000e+00,5.097880000000000189e-01,3.900000000000000000e+01,1.670759999999999934e+01,5.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,3.515115291417045817e+00,5.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.315744313464332751e-02,1.046520728873695689e-02,2.476784135166227706e-03,3.498162361592054882e-03,5.232603644368478447e-03,7.430352405498682686e-03,1.049448708477616551e-02,6.068634299997938797e+00,0.000000000000000000e+00,6.007975200016517192e+00,1.004000077955424786e-04,6.053369998699054122e-02,1.107341328542986680e+01,2.718868029479362569e+00,1.791140480199173624e+01,1.398534413687367817e+01,2.275752010646073575e+00,2.254984541439469581e+00,2.368639042411397710e+01,1.608640565865228922e+01,2.552171937287397441e+00,3.021041557975929770e+00,3.985736481065663916e+00,4.716643394347560303e+00,4.160091568314901345e+00,2.886369120265663835e+00,-1.796799839222651407e-03
3.000000000000000000e+00,1.408160045957859360e-02,7.784224966772383680e-03,1.309087000028660895e-03,2.087408992035473098e-03,3.892112483386191840e-03,3.927261000085982903e-03,6.262226976106418860e-03,6.375836799998069182e+00,0.000000000000000000e+00,6.319691699987743050e+00,1.019999908749014139e-04,5.601889998069964349e-02,9.462661911270018322e+00,2.061150854044872638e+00,1.846285654643006779e+01,1.637949755393591289e+01,5.409202415293644650e-01,2.168605891270168229e+00,3.662515540015893833e+01,1.122937451629098859e+01,2.880551428553571380e+00,3.873297581041258653e+00,4.069334416758172424e+00,2.866298099021913792e+00,2.158509679333472153e+00,4.150680862265147653e+00,1.550631439465810502e-02
4.000000000000000000e+00,1.905714231427686756e-02,9.285928860121034009e-03,1.976689900723254886e-03,2.828036060682195298e-03,4.642964430060517005e-03,5.930069702169764659e-03,8.484108182046586760e-03,5.543041500000981614e+00,0.000000000000000000e+00,5.477822099986951798e+00,1.205999869853258133e-04,6.507519999286159873e-02,6.968316068926263540e+00,2.190407881981959015e+00,1.598695916906701164e+01,1.548320173948525458e+01,1.534737243255395178e+00,2.004571326077253524e+00,4.615884822846721747e+00,3.119000990185295752e+00,4.346594104903402034e+00,2.815866588286974004e+00,3.854339630054953503e+00,3.768977483776623671e+00,4.059732368092440424e+00,2.200875474753552830e+00,7.434622609463048537e-02
5.000000000000000000e+00,1.076105682189702588e-02,4.837252894908244082e-03,8.802001946258211380e-04,1.900609930188480214e-03,2.418626447454122041e-03,2.640600583877463631e-03,5.701829790565440641e-03,5.521693800023058429e+00,0.000000000000000000e+00,5.407407999999122694e+00,8.860000525601208210e-05,1.141724999761208892e-01,5.889272345552838850e+00,2.075237789817733436e+00,1.336701290121736463e+01,1.453880381489952178e+01,3.335808296371641779e-01,1.629663919246050252e+00,2.439552928791535180e+01,1.044112704602115826e+01,3.857480473684046007e+00,2.619163971061706508e+00,4.978371603622909092e+00,2.533158950808011234e+00,4.987578851826316217e+00,3.134482370879807078e+00,-2.454913546593544826e-01
6.000000000000000000e+00,1.782261271761270346e-02,9.269565495991088921e-03,1.546315454212835241e-03,2.849627868992884571e-03,4.634782747995544461e-03,4.638946362638505724e-03,8.548883606978653280e-03,5.237360800005262718e+00,0.000000000000000000e+00,5.184547400014707819e+00,1.092000165954232216e-04,5.268510000314563513e-02,7.755046715791316103e+00,1.371908096070714400e+00,1.547670157052023043e+01,1.533230686408870369e+01,8.731958067120350678e-03,1.511570747732523312e+00,1.803728512502424763e+01,1.605604851032667568e+01,1.049813684069707875e+00,4.243837188907900071e+00,4.971416527929455320e+00,2.569067766812730191e+00,2.403957248439996697e+00,1.724376148777838846e+00,-2.821290141086346126e-01
7.000000000000000000e+00,1.636252779002731958e-02,9.564604224338925029e-03,1.340001995275854523e-03,2.520073230676764860e-03,4.782302112169462514e-03,4.020005985827563785e-03,7.560219692030294147e-03,5.915724799997406080e+00,0.000000000000000000e+00,5.857322900003055111e+00,1.219999976456165314e-04,5.825250002089887857e-02,8.988121683624264335e+00,1.333899456804695127e+00,1.321993224154931212e+01,1.830260995106081978e+01,1.075131944394142947e+00,8.126126497773802915e-02,2.127475352607194381e+01,1.576653904058624889e+01,3.263829892922463394e+00,3.347593691402596328e+00,4.946672061915354135e+00,3.577601365899908625e+00,4.657068043215270237e+00,3.527747903556408993e+00,-2.331319666897124221e-01
8.000000000000000000e+00,2.312964646515578912e-02,1.020669301716494760e-02,2.374233926886596888e-03,3.634532725304507640e-03,5.103346508582473802e-03,7.122701780659790663e-03,1.090359817591352379e-02,5.747372100013308227e+00,0.000000000000000000e+00,5.701000400003977120e+00,2.194999833591282368e-04,4.613040000549517572e-02,9.362506320283275230e+00,1.434909077127350940e+00,1.531927001837934910e+01,1.646877418693558326e+01,1.135480646661612969e+00,6.420998458340866633e-02,3.817031144727769032e+01,1.541027690732836852e+01,1.124743388497150942e+00,3.776776761488426892e+00,3.749414346287356814e+00,4.491363658258055835e+00,4.211707179999942596e+00,4.639651234318973749e+00,1.711698229203186816e-01
9.000000000000000000e+00,1.346368552743580638e-02,6.824354821774792669e-03,1.023899540683136707e-03,2.326603164832999684e-03,3.412177410887396335e-03,3.071698622049410122e-03,6.979809494498999053e-03,5.946300399984465912e+00,0.000000000000000000e+00,5.895177400001557544e+00,9.180000051856040955e-05,5.101070000091567636e-02,8.965248665877156853e+00,1.663309382699349914e+00,1.539482090338908016e+01,1.442910146245206704e+01,2.744357535604068143e+00,6.293468441086871312e-01,1.219216634218519957e+01,4.978810357088879535e+00,3.167649366839515146e+00,3.075837344687172514e+00,4.693173354589921686e+00,3.863915205050737711e+00,2.173912236688712696e+00,2.859059012711477887e+00,-1.931303384370375298e-01
1.000000000000000000e+01,1.113747414648490891e-02,4.376740945718273282e-03,1.119046133958706167e-03,1.863988423916551618e-03,2.188370472859136641e-03,3.357138401876118283e-03,5.591965271749654853e-03,6.989959800004726276e+00,0.000000000000000000e+00,6.929803599981823936e+00,1.038000045809894800e-04,6.002790000638924539e-02,1.257007188441277279e+01,2.982842974984804663e+00,1.843617791352195923e+01,1.475820433775040108e+01,2.914498615920194879e+00,2.246549512816105931e+00,8.550937109372339640e-01,2.541513303382922917e+00,2.631810988132627038e+00,4.490304214451319886e+00,4.570036135981579761e+00,2.013023446761137869e+00,2.683187449690381143e+00,3.136971400981587887e+00,-1.594788296070729361e-01
1.100000000000000000e+01,1.131056727024387296e-02,4.916731577390661898e-03,9.961667084863335547e-04,1.954567118696513926e-03,2.458365788695330949e-03,2.988500125459000664e-03,5.863701356089542210e-03,5.851875299995299429e+00,0.000000000000000000e+00,5.792664200009312481e+00,9.630000567995011806e-05,5.909259998588822782e-02,9.945622082864570501e+00,2.240190219105055114e+00,1.423942665418500475e+01,1.324543699377495898e+01,2.090857745805535739e+00,1.091052322577954259e+00,2.292896080097442280e+01,1.483125752057406110e+01,4.477075201131160753e+00,4.573800969749812317e+00,2.967046818347642390e+00,3.214796786602660994e+00,3.318619131401567390e+00,4.534633819348615091e+00,2.351678417366001583e-01
1.200000000000000000e+01,1.704164391124117842e-02,8.017764219260576850e-03,1.741137457965745861e-03,2.603116475904550947e-03,4.008882109630288425e-03,5.223412373897238017e-03,7.809349427713652841e-03,5.855274400004418567e+00,0.000000000000000000e+00,5.791454200021689758e+00,8.030000026337802410e-05,6.371419999049976468e-02,8.947468031411336398e+00,2.036435582957242474e+00,1.689043414956707423e+01,1.345491623719634333e+01,2.607889278565023616e+00,2.021048658417393451e+00,2.743346027788987840e+01,8.786139863165416841e+00,1.971959088166481022e+00,4.778036516407451195e+00,4.989772991661695301e+00,4.608282957290764870e+00,3.918931360569128941e+00,2.138224718276519276e+00,2.487681709062047886e-01
