evaluation,objective,C 1s_raw,La 4d_raw,O 1s_raw,Ti 2p_raw,reflectivity_raw,C 1s_weighted,La 4d_weighted,O 1s_weighted,Ti 2p_weighted,reflectivity_weighted,carbon_thickness,carbon_roughness,lno_thickness,sto_thickness,superlattice_roughness,substrate_roughness,angle_offset
1.000000000000000000e+00,5.356383217652199713e-02,7.859438024304054270e-04,4.135468139050348818e-04,2.076427377442593882e-04,6.465358692283444154e-04,3.302713994344155801e-02,7.859438024304055137e-03,4.135468139050349143e-03,2.076427377442593720e-03,6.465358692283444154e-03,3.302713994344155801e-02,8.500000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,2.100000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,1.499999999999999944e-01
2.000000000000000000e+00,2.138795014486357116e-01,3.309759665785721484e-03,1.607973021365064403e-03,8.561005734666303491e-04,2.446697472288034917e-03,1.316741941195812005e-01,3.309759665785721311e-02,1.607973021365064273e-02,8.561005734666303491e-03,2.446697472288034830e-02,1.316741941195812005e-01,6.546454728810503276e+00,2.826521103242523036e+00,1.877646248712938970e+01,2.170513184130798834e+01,1.420700624150845304e+00,1.902850866698646781e+00,2.774385224369178005e-01
3.000000000000000000e+00,4.535629013175883628e-01,4.921776296153639041e-03,1.732597369517933179e-03,1.170523344564347026e-03,2.614337083770950677e-03,3.491705603775196454e-01,4.921776296153639041e-02,1.732597369517933222e-02,1.170523344564347069e-02,2.614337083770950504e-02,3.491705603775196454e-01,1.260945081363956177e+01,8.248437231613902076e-01,2.155883275657786413e+01,2.085504773583221549e+01,3.071594145712380985e+00,4.141554887806005780e+00,6.136609476477383751e-02
4.000000000000000000e+00,7.332608282289255763e-01,5.286338726731550607e-03,2.243915045322353048e-03,1.592789856816213519e-03,3.329499973257895370e-03,6.087353922076454982e-01,5.286338726731550780e-02,2.243915045322352961e-02,1.592789856816213476e-02,3.329499973257895457e-02,6.087353922076454982e-01,1.189468971683585785e+01,2.853785828290079873e+00,2.188028395523837943e+01,2.195431644667289817e+01,4.112412785229453860e+00,1.100597106187926943e+00,2.948951152920183949e-01
5.000000000000000000e+00,1.036534388341203358e-02,1.069145239817744598e-04,8.628277806804888529e-05,3.327029494692460238e-05,9.720912335171282015e-05,7.128576679927425309e-03,1.069145239817744517e-03,8.628277806804888258e-04,3.327029494692459967e-04,9.720912335171281744e-04,7.128576679927425309e-03,9.287298223055870494e+00,1.163959474234251612e+00,1.881603750919286000e+01,2.145601693045953340e+01,1.620579532168088033e+00,4.099322456107837631e+00,-1.182563648394063804e-02
6.000000000000000000e+00,5.790811665605481023e-02,5.945706758808646164e-04,1.690071204105217937e-04,1.153331350706010951e-04,2.543885318981340760e-04,4.657512202345359675e-02,5.945706758808646381e-03,1.690071204105217991e-03,1.153331350706010951e-03,2.543885318981340543e-03,4.657512202345359675e-02,1.226647367953045986e+01,6.571668826480780989e-01,2.048512863659796324e+01,1.976988997214582966e+01,4.590652304949285778e+00,1.276371227275842735e+00,4.497771444705755961e-03
7.000000000000000000e+00,1.799457157632067261e-01,2.888199699758075417e-03,1.121274363301571347e-03,7.034950733241848849e-04,1.726709584461598142e-03,1.155489285547524336e-01,2.888199699758075417e-02,1.121274363301571347e-02,7.034950733241849066e-03,1.726709584461598099e-02,1.155489285547524336e-01,9.719248115222058004e+00,2.876174794012227753e+00,1.994063527106865408e+01,1.970860874046193700e+01,2.592916311731530588e+00,1.172014128107298436e+00,-2.126685749812725068e-01
8.000000000000000000e+00,3.065403036731007003e-02,5.914756475689411219e-04,1.539608415291793991e-04,1.168424091408005073e-04,1.414428462038487511e-04,2.061681292288237294e-02,5.914756475689411652e-03,1.539608415291794045e-03,1.168424091408005018e-03,1.414428462038487457e-03,2.061681292288237294e-02,9.811625320873719858e+00,6.292995493586293065e-01,1.802399871618341365e+01,2.169539942711893232e+01,3.710123178523788479e+00,4.953027182597559808e+00,-2.125144307856929871e-02
9.000000000000000000e+00,3.675169511061335825e-01,3.703454112226373714e-03,1.364402983227784149e-03,8.646974672814141836e-04,1.934065463151169546e-03,2.888507508472661911e-01,3.703454112226373801e-02,1.364402983227784236e-02,8.646974672814141186e-03,1.934065463151169589e-02,2.888507508472661911e-01,1.258828911876788226e+01,6.773813535659936047e-01,2.097562346365503316e+01,1.905294839847805832e+01,4.908546469593803252e+00,3.661952080216634986e+00,3.457312629708133578e-01
1.000000000000000000e+01,1.513330673893998335e-01,2.541774834705236904e-03,1.178335063855106505e-03,6.337311113289315415e-04,1.832316218469739110e-03,8.947149510580969245e-02,2.541774834705236991e-02,1.178335063855106418e-02,6.337311113289315415e-03,1.832316218469738980e-02,8.947149510580969245e-02,8.560822473201040950e+00,3.261559401078761411e+00,1.885921435657633083e+01,2.180443178816639715e+01,2.338961360839147297e+00,3.007090431461585833e+00,1.543958712436747094e-01
1.100000000000000000e+01,2.269869831945856287e-01,3.986565108772512772e-03,1.635757803340973007e-03,9.867321040951885624e-04,2.012749025831377710e-03,1.407689427741851129e-01,3.986565108772512772e-02,1.635757803340973093e-02,9.867321040951886058e-03,2.012749025831377797e-02,1.407689427741851129e-01,8.975330698881554881e+00,1.054994129953673809e+00,1.821771045483990648e+01,2.060312237772246036e+01,1.160772461957181978e+00,1.912261454982878250e+00,-2.981182460701387038e-02
1.200000000000000000e+01,5.126888744437406720e-01,4.207386177810153345e-03,1.323244408422087929e-03,8.071351295734023037e-04,1.882430905173588902e-03,4.304869082339483621e-01,4.207386177810153172e-02,1.323244408422087973e-02,8.071351295734023254e-03,1.882430905173589075e-02,4.304869082339483621e-01,8.275840743675983546e+00,3.050764268818621616e+00,1.909909529490364122e+01,1.838465352689123122e+01,4.895400862862771874e+00,1.358339055226453596e+00,-1.466769944690063943e-01
1.300000000000000000e+01,3.544881693440942588e-02,8.053465576353964874e-04,1.038406088585240453e-04,6.487377556099908969e-05,1.910652822066099968e-04,2.379755469179413094e-02,8.053465576353965524e-03,1.038406088585240453e-03,6.487377556099909511e-04,1.910652822066099968e-03,2.379755469179413094e-02,6.884187878331146315e+00,9.884284634796761670e-01,2.044504983582374891e+01,1.955717681714397571e+01,2.713275544045910870e+00,3.195939970572693412e+00,-7.301468657454590616e-02
1.400000000000000000e+01,5.876437831722383653e-02,1.063777700859209769e-03,3.757060469846052364e-04,2.327321331710946559e-04,7.751646406747540871e-04,3.429057310032720268e-02,1.063777700859209682e-02,3.757060469846052256e-03,2.327321331710946722e-03,7.751646406747541088e-03,3.429057310032720268e-02,9.274686644615460551e+00,3.734115967739771946e+00,2.096166377762071420e+01,1.927683820528426750e+01,1.096869345763163750e+00,4.445971627475513444e+00,-1.695697308536892600e-01
1.500000000000000000e+01,3.751440761224940079e-01,3.956225685730218114e-03,1.421375432713911690e-03,8.813263672488571773e-04,2.404056788680905641e-03,2.885142333787550917e-01,3.956225685730217767e-02,1.421375432713911646e-02,8.813263672488571773e-03,2.404056788680905554e-02,2.885142333787550917e-01,1.012294830042231553e+01,1.187065327068513865e+00,2.005246464413651353e+01,1.814769641870138628e+01,3.377719709839530182e+00,1.428844886073162179e+00,-2.034970815398942923e-01
1.600000000000000000e+01,1.594934291100071622e-01,2.245052404339063085e-03,7.585715665969601984e-04,4.628207169172641783e-04,1.138322727589019621e-03,1.134457549555840800e-01,2.245052404339063085e-02,7.585715665969602201e-03,4.628207169172641675e-03,1.138322727589019534e-02,1.134457549555840800e-01,1.288261351439705749e+01,2.989999082786256146e+00,1.902254722172031975e+01,2.090056231155808319e+01,4.653285154764792431e+00,4.506729854292293780e+00,2.154549953638779103e-01
1.700000000000000000e+01,5.187394413845286545e-01,5.771730600948225300e-03,2.033399198852560257e-03,1.208013718866280273e-03,3.232478160618954335e-03,3.962832245916684815e-01,5.771730600948225126e-02,2.033399198852560430e-02,1.208013718866280187e-02,3.232478160618953988e-02,3.962832245916684815e-01,7.305754202662656738e+00,1.729816956817596063e+00,1.865807006787399303e+01,1.857431458560529336e+01,1.293478964983470814e+00,2.731743980205799449e+00,1.647518343115211836e-02
1.800000000000000000e+01,3.263956598481013594e-03,2.186046391396949615e-05,4.331884593735097855e-05,3.106134226841499176e-05,3.312981773608710375e-05,1.970251899922787885e-03,2.186046391396949547e-04,4.331884593735097584e-04,3.106134226841498905e-04,3.312981773608710510e-04,1.970251899922787885e-03,8.440967598957348272e+00,3.734821060258838976e+00,2.101125013308680778e+01,1.921685190599244919e+01,3.789606777164985729e+00,4.124524575933923742e+00,-2.868489026851006596e-02
1.900000000000000000e+01,6.606162840812743187e-02,9.424535256693227381e-04,3.946704689652527132e-04,2.270316331666214166e-04,7.490831211647056530e-04,4.292924091846840595e-02,9.424535256693226948e-03,3.946704689652527458e-03,2.270316331666214112e-03,7.490831211647056530e-03,4.292924091846840595e-02,1.116924223417089834e+01,3.616073461089848617e+00,1.869509925615523116e+01,2.176966373604276939e+01,4.367202386185418561e+00,1.616633374950950941e+00,3.985660235166410548e-02
2.000000000000000000e+01,6.183321410740894031e-02,1.124846476471535930e-03,3.468857662573082657e-04,1.824903375814377888e-04,5.726942992203800297e-04,3.956404531210232223e-02,1.124846476471536016e-02,3.468857662573082874e-03,1.824903375814377997e-03,5.726942992203800514e-03,3.956404531210232223e-02,1.246567544642922343e+01,3.084221336238929911e+00,1.928515791691582493e+01,2.164789801361219546e+01,2.717864278764971164e+00,4.810891108409199646e+00,-6.009292783961406315e-02
2.100000000000000000e+01,1.784691011202304278e-01,2.753108090859716223e-03,1.437626494427363209e-03,8.825675531714859481e-04,2.097876060070614536e-03,1.067573191349386330e-01,2.753108090859716223e-02,1.437626494427363122e-02,8.825675531714859481e-03,2.097876060070614362e-02,1.067573191349386330e-01,1.194691633652421814e+01,1.550633382781423819e+00,1.900198551806109748e+01,1.964922926540214121e+01,1.744347823273860509e+00,3.687771646975357864e+00,-6.366699063474756670e-03
2.200000000000000000e+01,6.837220888804225460e-02,9.637979540180902907e-04,4.770290562509003842e-04,3.114721191791656432e-04,1.147328933357631394e-03,3.937592825998437879e-02,9.637979540180903124e-03,4.770290562509003733e-03,3.114721191791656324e-03,1.147328933357631350e-02,3.937592825998437879e-02,1.118552338672570201e+01,1.055710799142539402e+00,2.163580683553328754e+01,1.832333289721497493e+01,2.207692668484851239e+00,1.000689014955555400e+00,-1.700441897247794432e-01
2.300000000000000000e+01,2.667110360007535763e-01,3.873102789985109675e-03,1.341790075657876488e-03,8.196714059101697404e-04,2.287172701376819113e-03,1.834936662714538314e-01,3.873102789985109762e-02,1.341790075657876488e-02,8.196714059101696537e-03,2.287172701376818940e-02,1.834936662714538314e-01,8.210759827191797200e+00,3.719320854199066773e+00,1.954108011591608118e+01,1.814474072950872596e+01,2.439939956599153525e+00,1.278273613627856964e+00,1.565233408491991662e-01
2.400000000000000000e+01,2.856427552338334230e-01,4.611102320840329734e-03,1.178675469941555844e-03,7.363620498809078435e-04,1.463455686823379861e-03,2.057467999589717156e-01,4.611102320840329560e-02,1.178675469941555844e-02,7.363620498809078652e-03,1.463455686823379905e-02,2.057467999589717156e-01,6.282795353907911107e+00,1.926144035668392984e+00,1.907055565872588332e+01,2.097898743250616960e+01,3.742829582270510880e+00,2.694614620658303483e+00,-3.412499569911667807e-01
2.500000000000000000e+01,4.519391915357758860e-01,4.174908840471764845e-03,1.143580614740835871e-03,7.083884591795092025e-04,1.616247653093631385e-03,3.755079358609184625e-01,4.174908840471765192e-02,1.143580614740835957e-02,7.083884591795092459e-03,1.616247653093631428e-02,3.755079358609184625e-01,6.252691327874729588e+00,1.601737166697522641e+00,1.805323073429212855e+01,1.886676576673070471e+01,4.917521708226690436e+00,3.422063245004350218e+00,2.069605137018833974e-01
2.600000000000000000e+01,2.404257930920609965e-01,3.589669378474462900e-03,1.319910030332151164e-03,8.824556749410311044e-04,2.009225406731221086e-03,1.624131881872723226e-01,3.589669378474463074e-02,1.319910030332151207e-02,8.824556749410310610e-03,2.009225406731221172e-02,1.624131881872723226e-01,1.122371816131490618e+01,1.155538914690950936e+00,2.149286797801196158e+01,2.117658327859551903e+01,3.591087559239410254e+00,2.956120272921295644e+00,-1.756463820966704115e-01
2.700000000000000000e+01,1.887488297956022854e-01,2.960873125678153365e-03,1.252715210714782810e-03,8.549361616183010328e-04,1.867041679935461289e-03,1.193931680161353093e-01,2.960873125678153278e-02,1.252715210714782854e-02,8.549361616183010978e-03,1.867041679935461246e-02,1.193931680161353093e-01,8.006931922470323926e+00,6.432540779150539567e-01,2.151330343046641147e+01,1.972348588203370312e+01,3.209592821549767550e+00,3.850690989261134956e+00,8.568139146494380132e-02
2.800000000000000000e+01,4.227109517168348846e-02,3.713502664390748507e-04,2.698909942966161847e-04,1.626839314205330415e-04,4.773683471863298571e-04,2.945815977825794879e-02,3.713502664390748616e-03,2.698909942966161955e-03,1.626839314205330306e-03,4.773683471863298354e-03,2.945815977825794879e-02,7.917024070711901729e+00,2.917514751483075930e+00,1.913823748203282449e+01,2.023043987679193734e+01,3.658190159839027622e+00,2.808868267865120671e+00,2.618292037653139337e-01
2.900000000000000000e+01,1.485742206729057380e-01,2.934024643377971479e-03,8.449198540095509760e-04,5.420157615757424316e-04,8.637435597353352711e-04,9.672718248591974377e-02,2.934024643377971392e-02,8.449198540095509760e-03,5.420157615757424316e-03,8.637435597353353145e-03,9.672718248591974377e-02,7.457329223799117557e+00,2.621981568983315025e+00,1.870714824418694278e+01,2.168207246805488353e+01,2.364627890344475958e+00,1.811319943644287056e+00,-2.708176014999991721e-01
3.000000000000000000e+01,4.011386632110065797e-02,8.652895826559191608e-04,1.789635409020866579e-04,1.061017375681211003e-04,2.781661298224748658e-04,2.582865641161464013e-02,8.652895826559191608e-03,1.789635409020866579e-03,1.061017375681211003e-03,2.781661298224748658e-03,2.582865641161464013e-02,8.488610166234247245e+00,2.255372077949824750e+00,2.087352470823109130e+01,2.005428329305191681e+01,3.546905773122785988e+00,1.634454002616889667e+00,-3.052479818626189223e-01
3.100000000000000000e+01,6.848155053503621192e-02,1.116099457346633175e-03,4.502514109556716559e-04,2.794506620611015148e-04,8.764049274601207543e-04,4.125948595680093561e-02,1.116099457346633218e-02,4.502514109556716992e-03,2.794506620611015256e-03,8.764049274601207543e-03,4.125948595680093561e-02,9.490366971714887967e+00,2.335192897161658010e+00,2.034754389234326766e+01,1.843189917597262450e+01,2.451834883135338927e+00,2.681733171700584784e+00,1.080328993382910219e-01
3.200000000000000000e+01,9.568665630866900890e-03,5.675980756569334998e-05,4.346794642546113609e-05,2.638147673446133930e-05,1.482280315299967780e-05,8.154345292080745350e-03,5.675980756569335133e-04,4.346794642546113609e-04,2.638147673446133794e-04,1.482280315299967712e-04,8.154345292080745350e-03,1.253368706833583701e+01,6.891482865548672621e-01,1.823223597495805492e+01,2.028561043061428393e+01,2.010912862504626197e+00,2.673345611822223411e+00,3.259957537074079648e-01
3.300000000000000000e+01,4.323700582722684455e-02,3.692631195254354390e-04,3.259681929565818041e-04,1.922164791785655239e-04,6.252184452568085044e-04,2.811034345805293530e-02,3.692631195254354390e-03,3.259681929565817933e-03,1.922164791785655347e-03,6.252184452568084611e-03,2.811034345805293530e-02,7.221355236977135661e+00,2.361138130189778028e+00,1.963051506604099217e+01,2.158806163739080830e+01,3.958448208400264789e+00,4.075236185859475668e+00,-1.227406237610574602e-01
3.400000000000000000e+01,1.373052867453255776e-01,2.286575105668241844e-03,4.468648359991692466e-04,2.893287563053992674e-04,6.414983500961112840e-04,1.006626162646363509e-01,2.286575105668241931e-02,4.468648359991692250e-03,2.893287563053992782e-03,6.414983500961112840e-03,1.006626162646363509e-01,7.273986291156155026e+00,2.502569469140280223e+00,1.998476274812731290e+01,2.009683905454039632e+01,4.936450632206193845e+00,1.690498990276679603e+00,-2.331829988131919329e-01
3.500000000000000000e+01,8.199589798003291408e-02,9.034607334346319565e-04,5.121114230434488943e-04,3.083369021864374110e-04,7.431764117050765122e-04,5.732504327633696634e-02,9.034607334346319782e-03,5.121114230434488726e-03,3.083369021864373893e-03,7.431764117050765339e-03,5.732504327633696634e-02,1.296387585685281785e+01,1.298408080514068530e+00,1.932013735991693792e+01,1.927088767142329573e+01,3.928348269552194516e+00,1.994452474734454972e+00,1.155858176292707817e-01
