angle_deg,reflectivity,la4d_rc,o1s_rc,ti2p_rc,c1s_rc
6.915650706368666079e+00,9.535589042536483798e-04,1.004448378177495105e+00,1.005109424143156627e+00,1.000679914459302822e+00,1.011153870842193214e+00
6.940650706368666434e+00,9.531810031571856610e-04,1.004245892686223218e+00,1.004857774195800690e+00,1.000261729820300483e+00,1.011210789137807931e+00
6.965650706368665901e+00,9.467127951317422935e-04,1.004207753413191906e+00,1.004752173325356157e+00,9.997853874932525198e-01,1.011228497928769121e+00
6.990650706368666256e+00,9.329662205250323966e-04,1.004303464398790258e+00,1.004766620671488031e+00,9.993232043305549928e-01,1.011126049520421288e+00
7.015650706368665723e+00,9.118254955743879554e-04,1.004484051623808272e+00,1.004858665313588473e+00,9.989475280183190975e-01,1.010837876071288832e+00
7.040650706368666079e+00,8.842730784392698181e-04,1.004688237712844323e+00,1.004974843125731931e+00,9.987214723109141268e-01,1.010323179764654355e+00
7.065650706368666434e+00,8.522615743031614413e-04,1.004850389176787262e+00,1.005057684597564283e+00,9.986906691118867530e-01,1.009572097100388088e+00
7.090650706368665901e+00,8.184482385162022804e-04,1.004909207702769480e+00,1.005053375951349803e+00,9.988771026143592469e-01,1.008607728880399623e+00
7.115650706368666256e+00,7.858279485392504100e-04,1.004816021479815191e+00,1.004919057024150852e+00,9.992758423881086260e-01,1.007483676976260289e+00
7.140650706368665723e+00,7.573148910082466018e-04,1.004541565811787107e+00,1.004628773909281181e+00,9.998551389532213118e-01,1.006277335378930493e+00
7.165650706368666079e+00,7.353307860313962980e-04,1.004080321706565249e+00,1.004177268841151216e+00,1.000559929482452537e+00,1.005079766150425380e+00
7.190650706368666434e+00,7.214571767823322636e-04,1.003451785776264815e+00,1.003581064404930334e+00,1.001318372971057080e+00,1.003983472687654421e+00
7.215650706368665901e+00,7.162011067972343277e-04,1.002698437611889259e+00,1.002876649829415046e+00,1.002050645849103416e+00,1.003069696905795505e+00
7.240650706368666256e+00,7.189083968533979989e-04,1.001880602739518622e+00,1.002115959475842644e+00,1.002678929340269587e+00,1.002396967599048061e+00
7.265650706368665723e+00,7.278386719852947403e-04,1.001068824774944410e+00,1.001359698016697664e+00,1.003137348285338515e+00,1.001992495330144006e+00
7.290650706368666079e+00,7.403939537046511652e-04,1.000334704203503122e+00,1.000669364429065178e+00,1.003380602451100945e+00,1.001847656439215806e+00
7.315650706368666434e+00,7.534710847053623225e-04,9.997413856762921158e-01,1.000099016428688037e+00,1.003390171792008179e+00,1.001918277538475843e+00
7.340650706368665901e+00,7.638905228747137205e-04,9.993349477481170418e-01,9.996878704233722601e-01,1.003177262588226260e+00,1.002129790819421995e+00
7.365650706368666256e+00,7.688426845425827159e-04,9.991378553956763442e-01,9.994547395299253623e-01,1.002782058260004439e+00,1.002386665800013565e+00
7.390650706368665723e+00,7.662897251240462790e-04,9.991453857644370107e-01,9.993950837579546054e-01,1.002269297847970142e+00,1.002584926424554546e+00
7.415650706368666079e+00,7.552659773468795067e-04,9.993255624135730653e-01,9.994811111827535122e-01,1.001720668527442681e+00,1.002626117433216058e+00
7.440650706368666434e+00,7.360335571903291185e-04,9.996226813453649163e-01,9.996649708286600156e-01,1.001224906957509431e+00,1.002430854073682154e+00
7.465650706368665901e+00,7.100691063159646254e-04,9.999640423727503835e-01,9.998846697101574366e-01,1.000866805690191486e+00,1.001950108485015312e+00
7.490650706368666256e+00,6.798806251879096910e-04,1.000269073244948848e+00,1.000071981868745352e+00,1.000716477066087240e+00,1.001172654428687192e+00
7.515650706368665723e+00,6.486767522799845569e-04,1.000459706856345221e+00,1.000161344079851800e+00,1.000820218096426295e+00,1.000127576108603700e+00
7.540650706368666079e+00,6.199315090168667402e-04,1.000470686443414081e+00,1.000098586932103073e+00,1.001194145970127014e+00,9.988813850043790632e-01
7.565650706368666434e+00,5.969026696040159643e-04,1.000258454906095107e+00,9.998483508434369282e-01,1.001821454615581697e+00,9.975299994378412638e-01
7.590650706368665901e+00,5.821694471267844931e-04,9.998074370161011970e-01,9.993991858303580278e-01,1.002653714519208261e+00,9.961865337733184500e-01
7.615650706368666256e+00,5.772539834738881675e-04,9.991328313909424441e-01,9.987656149398236316e-01,1.003616149805920843e+00,9.949664275636692645e-01
7.640650706368665723e+00,5.823811606936924899e-04,9.982794577117282131e-01,9.979868212676329398e-01,1.004616335212565215e+00,9.939718410868536580e-01
7.665650706368666079e+00,5.964136170967190582e-04,9.973167030121851129e-01,9.971220514646167432e-01,1.005555319835151229e+00,9.932773953724529648e-01
7.690650706368666434e+00,6.169756975744290686e-04,9.963301176841233842e-01,9.962432604317480456e-01,1.006339858891089456e+00,9.929192140961690116e-01
7.715650706368665901e+00,6.407543617970836098e-04,9.954106621640568253e-01,9.954258964207229887e-01,1.006894262789792105e+00,9.928888383196585732e-01
7.740650706368666256e+00,6.639402568073920997e-04,9.946429385606512241e-01,9.947389920618578962e-01,1.007170381077543420e+00,9.931329756352186289e-01
7.765650706368665723e+00,6.827516927005126144e-04,9.940939101311551118e-01,9.942358464213458813e-01,1.007154432115659137e+00,9.935592878919130566e-01
7.790650706368666079e+00,6.939711231741667622e-04,9.938035882458313708e-01,9.939465360672056216e-01,1.006869748683466570e+00,9.940476149315603527e-01
7.815650706368666434e+00,6.954199668991919688e-04,9.937789492769499855e-01,9.938732815939720355e-01,1.006374993712235932e+00,9.944652845017317722e-01
7.840650706368665901e+00,6.863039735045964665e-04,9.939919571166391243e-01,9.939893450835215472e-01,1.005757950346110263e+00,9.946845741149619169e-01
7.865650706368666256e+00,6.673771852880038295e-04,9.943820585444763660e-01,9.942416879472683044e-01,1.005125538370372995e+00,9.946000516496048549e-01
7.890650706368665723e+00,6.408958882710157111e-04,9.948629528339575367e-01,9.945571349704974695e-01,1.004591186609197218e+00,9.941434776118912575e-01
7.915650706368666079e+00,6.103617604275386656e-04,9.953328857228516124e-01,9.948513315298062043e-01,1.004261039109012321e+00,9.932942132861326545e-01
7.940650706368666434e+00,5.800820793381511681e-04,9.956872508931391419e-01,9.950394056758217198e-01,1.004220649006077215e+00,9.920836154423443576e-01
7.965650706368665901e+00,5.546005942229097381e-04,9.958319582658361480e-01,9.950470029443031494e-01,1.004523795844447953e+00,9.905926446668803509e-01
7.990650706368666256e+00,5.380720924610938021e-04,9.956958891708037607e-01,9.948202810111032024e-01,1.005184849876598951e+00,9.889427794142250372e-01
8.015650706368665723e+00,5.336641320697863055e-04,9.952408238197307799e-01,9.943335459767170814e-01,1.006175721934151390e+00,9.872812052547429440e-01
8.040650706368666079e+00,5.430692400322186843e-04,9.944674933438721887e-01,9.935934742326497648e-01,1.007427919878509881e+00,9.857620291138541324e-01
8.065650706368666434e+00,5.661996976933436143e-04,9.934168508363619976e-01,9.926392661057014122e-01,1.008839637501542041e+00,9.845258507824781180e-01
8.090650706368666789e+00,6.011157856324323128e-04,9.921662261776555969e-01,9.915385751613797760e-01,1.010287194484876805e+00,9.836803276651004957e-01
8.115650706368665368e+00,6.442092899927974329e-04,9.908206634158088777e-01,9.903795921785842893e-01,1.011639596724443146e+00,9.832843427582871332e-01
8.140650706368665723e+00,6.906305781771324929e-04,9.895003611877231098e-01,9.892601696543265044e-01,1.012774562671868495e+00,9.833380179198629722e-01
8.165650706368666079e+00,7.349138513020061179e-04,9.883256669628002200e-01,9.882752852179207403e-01,1.013594120489626604e+00,9.837801359757433195e-01
8.190650706368666434e+00,7.717258111740340999e-04,9.874014425013992735e-01,9.875044028705209920e-01,1.014037861009834396e+00,9.844936210464797499e-01
8.215650706368666789e+00,7.966421748853117109e-04,9.868027661420387675e-01,9.870003590407040450e-01,1.014092145031717962e+00,9.853186883177526001e-01
8.240650706368665368e+00,8.068475093560112214e-04,9.865638394866188543e-01,9.867812599229700554e-01,1.013793992864753246e+00,9.860722470052206701e-01
8.265650706368665723e+00,8.016585132450116096e-04,9.866716263767110195e-01,9.868265394183242112e-01,1.013228982586566573e+00,9.865712622289599665e-01
8.290650706368666079e+00,7.827890827706399405e-04,9.870652083569765312e-01,9.870778324944661231e-01,1.012523181228884628e+00,9.866571749335274477e-01
8.315650706368666434e+00,7.543053418256744644e-04,9.876411585429808460e-01,9.874447279994879034e-01,1.011829846501423935e+00,9.862182306868966242e-01
8.340650706368666789e+00,7.222568004438507461e-04,9.882644985110815572e-01,9.878148517165543652e-01,1.011312280549278464e+00,9.852067174508236658e-01
8.365650706368665368e+00,6.940113712503394100e-04,9.887841001412382980e-01,9.880671706998450654e-01,1.011124716178911642e+00,9.836486468810211603e-01
8.390650706368665723e+00,6.773621190315277278e-04,9.890508101901883675e-01,9.880869718511693378e-01,1.011393412927981794e+00,9.816442733583388147e-01
8.415650706368666079e+00,6.795074965733601067e-04,9.889361785401450389e-01,9.877807040646544579e-01,1.012200201440431435e+00,9.793589319983343477e-01
8.440650706368666434e+00,7.060302293483824770e-04,9.883495091513792019e-01,9.870888169325018335e-01,1.013570530379564794e+00,9.770048686636777502e-01
8.465650706368666789e+00,7.600097593986971040e-04,9.872510491757993112e-01,9.859948910225796448e-01,1.015467654262818487e+00,9.748158970236588949e-01
8.490650706368665368e+00,8.413973217330341162e-04,9.856594847852381269e-01,9.845297242548760597e-01,1.017793987818393475e+00,9.730177156315060749e-01
8.515650706368665723e+00,9.467608636067771774e-04,9.836524951975146314e-01,9.827695838737502410e-01,1.020399896322059075e+00,9.717974286802713024e-01
8.540650706368666079e+00,1.069470355561030371e-03,9.813598775593348478e-01,9.808285019626609147e-01,1.023099362283914182e+00,9.712761368206836998e-01
8.565650706368666434e+00,1.200345606784675905e-03,9.789496198912229774e-01,9.788452148304009892e-01,1.025691150984726407e+00,9.714883331015410350e-01
8.590650706368666789e+00,1.328733282112492349e-03,9.766081730206771505e-01,9.769660403919780967e-01,1.027983382982820881e+00,9.723712349802678956e-01
8.615650706368665368e+00,1.443923696387088137e-03,9.745169498184607093e-01,9.753255652653428642e-01,1.029818901856346836e+00,9.737661455739050620e-01
8.640650706368665723e+00,1.536768233995933946e-03,9.728276569236038451e-01,9.740273933204804946e-01,1.031098577104397673e+00,9.754325671672183784e-01
8.665650706368666079e+00,1.601321848827160638e-03,9.716393537001467573e-01,9.731273280375031254e-01,1.031799754062908692e+00,9.770742448606121178e-01
8.690650706368666434e+00,1.636317659042636633e-03,9.709800823431038452e-01,9.726211925331519348e-01,1.031987463470395827e+00,9.783747931620453420e-01
