evaluation,objective,C 1s_raw,La 4d_raw,O 1s_raw,Ti 2p_raw,reflectivity_raw,C 1s_weighted,La 4d_weighted,O 1s_weighted,Ti 2p_weighted,reflectivity_weighted,carbon_thickness,carbon_roughness,lno_thickness,sto_thickness,superlattice_roughness,substrate_roughness,angle_offset
1.000000000000000000e+00,2.608813627360984100e-03,1.407375906503127827e-05,6.361940518116471097e-06,4.922451218321183624e-06,7.124347951685872419e-05,1.642797324177707559e-03,1.407375906503127759e-04,6.361940518116471774e-05,4.922451218321183286e-05,7.124347951685872961e-04,1.642797324177707559e-03,9.657174026666226041e+00,2.256662855794453471e+00,2.039340612375038475e+01,1.800000000000000000e+01,2.221056305276779774e+00,4.939423145398173176e+00,3.480771297617929472e-01
2.000000000000000000e+00,8.819790819123533854e-02,1.063382014708199805e-03,7.244831276715120840e-04,4.462824105150830752e-04,1.160415761996123462e-03,5.425227504232615905e-02,1.063382014708199805e-02,7.244831276715120623e-03,4.462824105150830535e-03,1.160415761996123549e-02,5.425227504232615905e-02,6.216498714927801927e+00,5.187458819237126262e-01,1.984328112309213310e+01,2.045957922437067111e+01,3.910178448262036977e+00,4.359456650251533283e+00,1.575568223868346607e-01
3.000000000000000000e+00,3.793223316594021566e-01,4.088878629379777245e-03,1.673340087970494978e-03,9.877634734934848809e-04,2.207347220242845791e-03,2.897490375485361480e-01,4.088878629379777419e-02,1.673340087970495021e-02,9.877634734934848809e-03,2.207347220242845964e-02,2.897490375485361480e-01,1.128538132069824584e+01,6.773238766156590707e-01,1.812266590557274526e+01,2.043760756141400847e+01,3.293470025423618885e+00,1.979583572730595487e+00,-2.627556962297445953e-01
4.000000000000000000e+00,2.519860840415373907e-02,3.505652969522316323e-04,7.368112375048392853e-05,3.504505832418087385e-05,2.261030155226589639e-04,1.834466345865818498e-02,3.505652969522316323e-03,7.368112375048393396e-04,3.504505832418087249e-04,2.261030155226589639e-03,1.834466345865818498e-02,1.220562783592107792e+01,1.667294297684825066e+00,1.842930780595938955e+01,2.167181996995615734e+01,3.451869992656900088e+00,3.053944783235803762e+00,4.430306796713678885e-02
5.000000000000000000e+00,3.152541785550329045e-01,3.252140061893178235e-03,1.714578936014122786e-03,1.030147110597344354e-03,2.886915850932690077e-03,2.264163589606595639e-01,3.252140061893177975e-02,1.714578936014122743e-02,1.030147110597344311e-02,2.886915850932689903e-02,2.264163589606595639e-01,1.393715190393668735e+01,1.841308718161619673e+00,1.890984182476845987e+01,1.805174548519729427e+01,1.950259468415898700e+00,3.527983930842277349e+00,1.765705588658965652e-01
6.000000000000000000e+00,5.564124729020537563e-01,5.244913945513950473e-03,2.070202260784756356e-03,1.247444664633885801e-03,3.282569114694904554e-03,4.379611730457788066e-01,5.244913945513950126e-02,2.070202260784756443e-02,1.247444664633885758e-02,3.282569114694904727e-02,4.379611730457788066e-01,1.001736219093885083e+01,3.692564926075157405e+00,1.881964092390241561e+01,1.849834147262652095e+01,1.731139722424015925e+00,4.361304982997626034e+00,-1.383400033862363654e-01
7.000000000000000000e+00,3.458486464714677355e-01,4.404072766143662596e-03,1.643539713684979888e-03,8.794263395274551885e-04,2.896124125788101210e-03,2.476170170200257536e-01,4.404072766143662943e-02,1.643539713684979975e-02,8.794263395274552753e-03,2.896124125788101383e-02,2.476170170200257536e-01,8.578725146198824092e+00,3.968563219397488240e+00,1.877735126442253488e+01,1.807311577637048572e+01,1.445376111955072318e+00,3.248673711369522099e+00,2.898375487879055745e-01
8.000000000000000000e+00,3.440318359276809401e-01,3.849457550329687342e-03,1.452273995987955540e-03,9.288685438431634397e-04,2.143986543729067915e-03,2.602859695887821956e-01,3.849457550329687255e-02,1.452273995987955583e-02,9.288685438431634397e-03,2.143986543729067829e-02,2.602859695887821956e-01,1.144461899459842513e+01,1.687786807043963666e+00,2.074417131968024108e+01,2.002970991377486243e+01,4.623368032765208469e+00,3.856690000511231453e+00,2.787626414313280065e-01
9.000000000000000000e+00,9.115318695361444498e-03,8.094089907059009287e-05,1.020878727490966657e-04,7.312634858165913371e-05,7.430952412115783394e-05,5.810672250136407480e-03,8.094089907059009558e-04,1.020878727490966576e-03,7.312634858165913913e-04,7.430952412115783123e-04,5.810672250136407480e-03,1.303893018763991662e+01,3.675880995618914682e+00,1.967226552974173615e+01,2.166954046604135442e+01,2.905618416740928467e+00,2.865229457137316249e+00,-3.372407755599682311e-01
1.000000000000000000e+01,3.047114104351629771e-01,3.386864722583530617e-03,1.658759025006436042e-03,1.012015543973978932e-03,2.583677640069905867e-03,2.182982411188244820e-01,3.386864722583530357e-02,1.658759025006436086e-02,1.012015543973978846e-02,2.583677640069905954e-02,2.182982411188244820e-01,1.371322073727612434e+01,1.567440981554762969e+00,1.924427835245003138e+01,1.927698422576362702e+01,2.602414619184164835e+00,1.983406987669021460e+00,-1.983133883410538312e-01
