evaluation,objective,C 1s_raw,La 4d_raw,O 1s_raw,Ti 2p_raw,reflectivity_raw,C 1s_weighted,La 4d_weighted,O 1s_weighted,Ti 2p_weighted,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,carbon_thickness,carbon_roughness_fraction,lno_thickness,sto_thickness,superlattice_roughness,substrate_roughness,angle_offset
1.000000000000000000e+00,6.003187190182327458e-03,2.050903584768653284e-04,1.281596975483137110e-04,5.882795256319304204e-05,2.082407104298605817e-04,1.110507845427741343e-02,1.025451792384326696e-03,6.407984877415685279e-04,2.941397628159651899e-04,1.041203552149302936e-03,3.001593595091163729e-03,1.217277999967336655e-01,3.729700000258162618e-02,7.258179999189451337e-02,1.032999716699123383e-04,1.173659996129572392e-02,8.500000000000000000e+00,2.000000000000000111e-01,1.919999999999999929e+01,2.080000000000000071e+01,2.200000000000000178e+00,3.799999999999999822e+00,8.000000000000000167e-02
2.000000000000000000e+00,7.007847612456327702e-02,3.313857042543325981e-03,1.311472612730918462e-03,8.000313769738077313e-04,1.547125772919938878e-03,1.302897604109463092e-01,1.656928521271662860e-02,6.557363063654592095e-03,4.000156884869038657e-03,7.735628864599694392e-03,3.521604209872331720e-02,1.085839000297710299e-01,3.283829998690634966e-02,6.345180002972483635e-02,1.776000135578215122e-04,1.210699998773634434e-02,9.354660934810313577e+00,8.733871524282920129e-01,1.834573711555419706e+01,2.089440721316859140e+01,2.401913104019969936e+00,1.135856685063685312e+00,-1.022815852112269608e-01
3.000000000000000000e+00,4.811180727730669793e-02,1.348792692220226151e-03,1.090202021650155161e-03,6.340552841598109295e-04,1.660131590338105026e-03,9.044316673972117859e-02,6.743963461101130756e-03,5.451010108250775588e-03,3.170276420799054539e-03,8.300657951690524478e-03,2.444589933546521127e-02,1.264956000377424061e-01,3.972479997901245952e-02,7.247439998900517821e-02,9.730004239827394485e-05,1.419369998620823026e-02,4.990292932714461394e+00,7.259541611165503117e-01,1.949133784424747162e+01,2.070399032849321230e+01,4.934588639266048737e+00,2.926120843074785149e+00,2.062694169665100219e-01
4.000000000000000000e+00,9.544688389963662534e-02,3.377999685179183375e-03,1.612617752290096103e-03,1.048473013020821036e-03,2.460575464730219153e-03,1.958952240453349924e-01,1.688999842589591557e-02,8.063088761450480299e-03,5.242365065104104965e-03,1.230287732365109576e-02,5.294855432353502700e-02,1.391971999546512961e-01,3.840479999780654907e-02,8.165469998493790627e-02,1.318999566137790680e-04,1.899950002552941442e-02,6.278516130557003194e+00,1.479738768341960775e-01,2.162906943218044731e+01,2.073730026984614483e+01,4.830914919397734764e+00,2.824203692810549171e+00,3.157056875828578857e-02
5.000000000000000000e+00,2.689944538432724724e-03,1.336197226335146819e-04,3.699841833739190142e-06,3.521921449366076936e-06,6.009610474231205806e-06,7.235516640188443920e-03,6.680986131675733554e-04,1.849920916869595114e-05,1.760960724683038553e-05,3.004805237115603072e-05,1.955689056478469075e-03,1.290732999914325774e-01,4.135999997379258275e-02,7.183380000060424209e-02,9.619997581467032433e-05,1.577330002328380942e-02,1.361518458740802373e+01,9.431776189526397403e-01,1.889343712657384700e+01,2.081175910447396760e+01,2.999780341125422467e+00,1.810642892604121590e+00,6.468228358621447294e-02
6.000000000000000000e+00,5.177254487283267093e-02,2.011474423877249781e-03,1.177028536512227108e-03,5.986381301271467663e-04,1.795511850355694999e-03,8.827283565862263648e-02,1.005737211938624934e-02,5.885142682561135541e-03,2.993190650635733831e-03,8.977559251778474345e-03,2.385928016847108091e-02,1.186203999677672982e-01,3.531439998187124729e-02,7.037739997031167150e-02,1.017000176943838596e-04,1.282000000355765224e-02,5.731584763508377200e+00,5.295152740644183675e-02,1.865747211359648361e+01,2.146490628524564315e+01,1.149714767278971372e+00,1.870566565530958902e+00,2.432805744942782566e-01
7.000000000000000000e+00,2.502395279417329171e-02,7.824165055530444939e-04,5.709841961745781760e-04,3.677358285408404304e-04,8.536105499298389521e-04,4.495249377146662978e-02,3.912082527765222903e-03,2.854920980872891097e-03,1.838679142704202152e-03,4.268052749649194760e-03,1.215021739318178015e-02,1.097403000458143651e-01,3.303270001197233796e-02,6.362369999988004565e-02,1.599999959580600262e-04,1.291669998317956924e-02,6.074106255246012331e+00,1.216038005427214908e-01,2.018185440917731199e+01,1.968689773831690459e+01,3.433032226581324231e+00,4.157705902908389817e+00,2.133705175577260693e-01
8.000000000000000000e+00,1.271126996625645822e-01,5.117820370623228643e-03,2.138412836378216809e-03,1.344120733363972277e-03,3.330963655113306204e-03,2.495692333930274176e-01,2.558910185311614321e-02,1.069206418189108318e-02,6.720603666819861821e-03,1.665481827556652972e-02,6.745611168517096079e-02,1.145010999753139913e-01,3.769530000863596797e-02,6.822499999543651938e-02,9.079999290406703949e-05,8.484299993142485619e-03,7.222909357779941253e+00,3.042343960646560208e-01,2.095025287342227927e+01,2.171566598007526494e+01,1.082289408854339552e+00,4.744607194230201941e+00,3.537541640985114588e-02
9.000000000000000000e+00,1.029501682105597588e-01,4.376087584498135515e-03,1.909598575310792910e-03,1.231728264579489687e-03,3.027255013604934850e-03,1.858255524181629537e-01,2.188043792249067671e-02,9.547992876553964767e-03,6.158641322897448651e-03,1.513627506802467382e-02,5.022682102059299741e-02,1.091646000277251005e-01,3.348260000348091125e-02,6.808550003916025162e-02,8.720002369955182076e-05,7.503400032874196768e-03,5.827856339598239011e+00,2.639027068951777522e-01,2.127034549821019027e+01,2.090344598972522761e+01,1.057994464044870409e+00,2.772798276569024445e+00,3.436284905306996595e-02
1.000000000000000000e+01,8.472868237937358771e-02,3.344061402039478267e-03,1.251970228807453055e-03,7.572266442303574865e-04,2.073844430014477186e-03,1.760817569956013573e-01,1.672030701019739177e-02,6.259851144037265058e-03,3.786133221151787541e-03,1.036922215007238593e-02,4.759316885391476348e-02,1.113856999436393380e-01,3.170809999573975801e-02,7.018359994981437922e-02,9.109999518841505051e-05,9.396200010087341070e-03,1.000836165457183924e+01,8.047895388034707054e-01,1.964088484788592837e+01,1.819435386575473856e+01,3.285299563512702470e+00,2.056348476219228338e+00,9.676372735618510301e-02
