evaluation,objective,C 1s_raw,La 4d_raw,O 1s_raw,Ti 2p_raw,reflectivity_raw,C 1s_weighted,La 4d_weighted,O 1s_weighted,Ti 2p_weighted,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,carbon_thickness,carbon_roughness_fraction,lno_thickness,sto_thickness,superlattice_roughness,substrate_roughness,angle_offset
1.000000000000000000e+00,6.003187190182327458e-03,2.050903584768653284e-04,1.281596975483137110e-04,5.882795256319304204e-05,2.082407104298605817e-04,1.110507845427741343e-02,1.025451792384326696e-03,6.407984877415685279e-04,2.941397628159651899e-04,1.041203552149302936e-03,3.001593595091163729e-03,1.094117999891750515e-01,2.988430002005770802e-02,6.370429997332394123e-02,9.240000508725643158e-05,1.572150003630667925e-02,8.500000000000000000e+00,2.000000000000000111e-01,1.919999999999999929e+01,2.080000000000000071e+01,2.200000000000000178e+00,3.799999999999999822e+00,8.000000000000000167e-02
2.000000000000000000e+00,7.007847612456327702e-02,3.313857042543325981e-03,1.311472612730918462e-03,8.000313769738077313e-04,1.547125772919938878e-03,1.302897604109463092e-01,1.656928521271662860e-02,6.557363063654592095e-03,4.000156884869038657e-03,7.735628864599694392e-03,3.521604209872331720e-02,9.475390001898631454e-02,3.080760000739246607e-02,5.491790000814944506e-02,8.989998605102300644e-05,8.929800009354948997e-03,9.354660934810313577e+00,8.733871524282920129e-01,1.834573711555419706e+01,2.089440721316859140e+01,2.401913104019969936e+00,1.135856685063685312e+00,-1.022815852112269608e-01
3.000000000000000000e+00,4.811180727730669793e-02,1.348792692220226151e-03,1.090202021650155161e-03,6.340552841598109295e-04,1.660131590338105026e-03,9.044316673972117859e-02,6.743963461101130756e-03,5.451010108250775588e-03,3.170276420799054539e-03,8.300657951690524478e-03,2.444589933546521127e-02,9.507440001470968127e-02,2.894210000522434711e-02,5.660730000818148255e-02,9.729998419061303139e-05,9.422199975233525038e-03,4.990292932714461394e+00,7.259541611165503117e-01,1.949133784424747162e+01,2.070399032849321230e+01,4.934588639266048737e+00,2.926120843074785149e+00,2.062694169665100219e-01
4.000000000000000000e+00,9.544688389963662534e-02,3.377999685179183375e-03,1.612617752290096103e-03,1.048473013020821036e-03,2.460575464730219153e-03,1.958952240453349924e-01,1.688999842589591557e-02,8.063088761450480299e-03,5.242365065104104965e-03,1.230287732365109576e-02,5.294855432353502700e-02,1.022527999593876302e-01,3.123119997326284647e-02,5.970479996176436543e-02,9.200000204145908356e-05,1.121890003560110927e-02,6.278516130557003194e+00,1.479738768341960775e-01,2.162906943218044731e+01,2.073730026984614483e+01,4.830914919397734764e+00,2.824203692810549171e+00,3.157056875828578857e-02
5.000000000000000000e+00,2.689944538432724724e-03,1.336197226335146819e-04,3.699841833739190142e-06,3.521921449366076936e-06,6.009610474231205806e-06,7.235516640188443920e-03,6.680986131675733554e-04,1.849920916869595114e-05,1.760960724683038553e-05,3.004805237115603072e-05,1.955689056478469075e-03,1.021333999815396965e-01,3.192909999052062631e-02,5.877110001165419817e-02,8.049997268244624138e-05,1.134720002301037312e-02,1.361518458740802373e+01,9.431776189526397403e-01,1.889343712657384700e+01,2.081175910447396760e+01,2.999780341125422467e+00,1.810642892604121590e+00,6.468228358621447294e-02
6.000000000000000000e+00,5.177254487283267093e-02,2.011474423877249781e-03,1.177028536512227108e-03,5.986381301271467663e-04,1.795511850355694999e-03,8.827283565862263648e-02,1.005737211938624934e-02,5.885142682561135541e-03,2.993190650635733831e-03,8.977559251778474345e-03,2.385928016847108091e-02,1.197200999595224857e-01,3.589280002051964402e-02,7.473449996905401349e-02,3.939999733120203018e-04,8.691900002304464579e-03,5.731584763508377200e+00,5.295152740644183675e-02,1.865747211359648361e+01,2.146490628524564315e+01,1.149714767278971372e+00,1.870566565530958902e+00,2.432805744942782566e-01
7.000000000000000000e+00,2.502395279417329171e-02,7.824165055530444939e-04,5.709841961745781760e-04,3.677358285408404304e-04,8.536105499298389521e-04,4.495249377146662978e-02,3.912082527765222903e-03,2.854920980872891097e-03,1.838679142704202152e-03,4.268052749649194760e-03,1.215021739318178015e-02,1.173615999869070947e-01,2.874430001247674227e-02,7.864359999075531960e-02,9.189994307234883308e-05,9.875899995677173138e-03,6.074106255246012331e+00,1.216038005427214908e-01,2.018185440917731199e+01,1.968689773831690459e+01,3.433032226581324231e+00,4.157705902908389817e+00,2.133705175577260693e-01
8.000000000000000000e+00,1.271126996625645822e-01,5.117820370623228643e-03,2.138412836378216809e-03,1.344120733363972277e-03,3.330963655113306204e-03,2.495692333930274176e-01,2.558910185311614321e-02,1.069206418189108318e-02,6.720603666819861821e-03,1.665481827556652972e-02,6.745611168517096079e-02,1.170284000108949840e-01,4.077740001957863569e-02,6.806670001242309809e-02,1.188000314868986607e-04,8.058999956119805574e-03,7.222909357779941253e+00,3.042343960646560208e-01,2.095025287342227927e+01,2.171566598007526494e+01,1.082289408854339552e+00,4.744607194230201941e+00,3.537541640985114588e-02
9.000000000000000000e+00,1.029501682105597588e-01,4.376087584498135515e-03,1.909598575310792910e-03,1.231728264579489687e-03,3.027255013604934850e-03,1.858255524181629537e-01,2.188043792249067671e-02,9.547992876553964767e-03,6.158641322897448651e-03,1.513627506802467382e-02,5.022682102059299741e-02,1.273024000111036003e-01,4.534090001834556460e-02,7.369630003813654184e-02,9.270000737160444260e-05,8.167599968146532774e-03,5.827856339598239011e+00,2.639027068951777522e-01,2.127034549821019027e+01,2.090344598972522761e+01,1.057994464044870409e+00,2.772798276569024445e+00,3.436284905306996595e-02
1.000000000000000000e+01,8.472868237937358771e-02,3.344061402039478267e-03,1.251970228807453055e-03,7.572266442303574865e-04,2.073844430014477186e-03,1.760817569956013573e-01,1.672030701019739177e-02,6.259851144037265058e-03,3.786133221151787541e-03,1.036922215007238593e-02,4.759316885391476348e-02,9.904780000215396285e-02,3.021160000935196877e-02,5.741960002342239022e-02,8.149998029693961143e-05,1.133010000921785831e-02,1.000836165457183924e+01,8.047895388034707054e-01,1.964088484788592837e+01,1.819435386575473856e+01,3.285299563512702470e+00,2.056348476219228338e+00,9.676372735618510301e-02
1.100000000000000000e+01,7.709342256941771609e-02,3.721901803963716462e-03,1.046991299552381318e-03,6.653175555975707851e-04,1.471771531380844031e-03,1.574733956551397085e-01,1.860950901981858058e-02,5.234956497761907024e-03,3.326587777987854034e-03,7.358857656904220154e-03,4.256351161694515300e-02,1.255357000045478344e-01,3.098989999853074551e-02,7.975510001415386796e-02,9.609997505322098732e-05,1.468889997340738773e-02,1.491806399598820043e+01,5.733931548352338980e-01,2.054612056930530173e+01,2.032307110611916556e+01,2.255126592360230831e+00,3.105350154810479157e+00,7.286970542131221418e-02
1.200000000000000000e+01,5.323088356148646290e-03,9.701169338082078764e-05,1.314181800252297303e-04,8.181468925617078761e-05,2.450867994630851875e-04,9.421102889384030607e-03,4.850584669041039382e-04,6.570909001261486786e-04,4.090734462808539381e-04,1.225433997315425938e-03,2.546431545522113635e-03,1.216732000466436148e-01,3.791359998285770416e-02,7.276489998912438750e-02,8.720002369955182076e-05,1.090220001060515642e-02,6.798623988974559218e+00,6.113485604559466824e-02,2.036737396980665693e+01,2.020795006181301190e+01,4.392062423961802686e+00,4.046159657045306446e+00,-6.300447286981172845e-02
1.300000000000000000e+01,1.599379241856429823e-01,4.315935976486228592e-03,1.640093149101849376e-03,9.751762509103155440e-04,2.541097839135138519e-03,4.165020361779841473e-01,2.157967988243114296e-02,8.200465745509246882e-03,4.875881254551578045e-03,1.270548919567569303e-02,1.125764081074753231e-01,1.117109999759122729e-01,3.734099998837336898e-02,6.025009998120367527e-02,1.001000055111944675e-04,1.401290000649169087e-02,1.051977518479386653e+01,9.544911136124838436e-01,1.851758329979734086e+01,1.807190385050967762e+01,3.250948635984591384e+00,2.397385252881856665e+00,7.205441843702509175e-02
1.400000000000000000e+01,1.281116772272979654e-01,4.695463176004189068e-03,1.425656176739496708e-03,8.640512494466333912e-04,2.288580431206442209e-03,3.024265390378747531e-01,2.347731588002094361e-02,7.128280883697483972e-03,4.320256247233166848e-03,1.144290215603221104e-02,8.174292206031415209e-02,9.644180000759661198e-02,2.671799995005130768e-02,5.796529998769983649e-02,8.930003968998789787e-05,1.166329998522996902e-02,7.381433897405627498e+00,4.252563612120112690e-01,1.951780183084564513e+01,1.851756916402209896e+01,3.413307317836782317e+00,1.288018493575376677e+00,-6.906524149343987173e-02
1.500000000000000000e+01,1.750967421480343067e-01,4.706709491908566724e-03,1.611364821027530580e-03,9.746334495683516529e-04,2.467585904672641491e-03,4.672581012906125153e-01,2.353354745954283275e-02,8.056824105137652681e-03,4.873167247841758698e-03,1.233792952336320789e-02,1.262952738121488616e-01,1.011314999777823687e-01,3.389229997992515564e-02,5.880990001605823636e-02,8.419994264841079712e-05,8.337899984326213598e-03,9.456256593455893977e+00,9.027070317953123091e-01,1.907789527442835720e+01,1.836487692604326938e+01,3.782696124914393110e+00,3.755235878225114288e+00,-2.262118868309656028e-01
1.600000000000000000e+01,6.720257612959919247e-02,2.218402621562916548e-03,1.336754388418734353e-03,9.036884423834832918e-04,2.258001600909428485e-03,1.243787011670480364e-01,1.109201310781458318e-02,6.683771942093671981e-03,4.518442211917416892e-03,1.129000800454714286e-02,3.361834086322638276e-02,9.857790003297850490e-02,3.538329998264089227e-02,5.613930005347356200e-02,1.010000705718994141e-04,6.948199996259063482e-03,7.823337195181204073e+00,9.148499547333791559e-01,2.150098522292798364e+01,2.010241906675121371e+01,1.944686847913837058e+00,1.527578542002558493e+00,2.353020038408665249e-02
1.700000000000000000e+01,3.783376190207453360e-02,1.211390546087248461e-03,7.092333507341929679e-04,4.279199910562623047e-04,1.034561060880187641e-03,7.739177787020880273e-02,6.056952730436241869e-03,3.546166753670964948e-03,2.139599955281311361e-03,5.172805304400938421e-03,2.091823715828507527e-02,9.163930005161091685e-02,2.828770002815872431e-02,5.583389999810606241e-02,9.180000051856040955e-05,7.420600042678415775e-03,1.448455153114207761e+01,6.482279666620049952e-01,1.972292876823766861e+01,1.963732857139729404e+01,4.145114433093095130e+00,2.051952880705809612e+00,-1.097426344261404341e-01
1.800000000000000000e+01,2.087427543841027244e-01,5.829066374890367816e-03,1.598147068826503156e-03,9.671529274861934101e-04,2.307549031097204991e-03,5.743204597213775742e-01,2.914533187445184081e-02,7.990735344132516432e-03,4.835764637430966725e-03,1.153774515548602539e-02,1.552331773726013664e-01,8.465800003614276648e-02,2.450210001552477479e-02,4.995820001931861043e-02,7.899996126070618629e-05,1.011309999739751220e-02,4.276575821830720159e+00,6.724630103931936720e-01,1.857272382521507836e+01,1.832941533659824529e+01,3.684528628999963029e+00,3.953451775862975026e+00,5.047975531010012729e-02
1.900000000000000000e+01,1.455661586592492049e-02,9.699197971985449923e-04,5.401284367103127449e-05,4.307192049159978061e-05,1.882667338576115906e-04,3.063470361084892624e-02,4.849598985992725070e-03,2.700642183551563657e-04,2.153596024579988895e-04,9.413336692880579530e-04,8.280259389830981614e-03,1.049468999844975770e-01,3.218430001288652420e-02,6.405559997074306011e-02,8.100003469735383987e-05,8.620800042990595102e-03,4.636467920992741298e+00,2.852661341621663404e-01,2.099220951756371534e+01,1.965969825547362149e+01,1.547031465455455113e+00,3.000956801494241599e+00,-1.727839480102535963e-01
2.000000000000000000e+01,5.135946063617609358e-02,3.310108022304792102e-03,3.670433951013035647e-04,1.908522004235859121e-04,6.693089433151941554e-04,1.060819094361694082e-01,1.655054011152395921e-02,1.835216975506517769e-03,9.542610021179296145e-04,3.346544716575970777e-03,2.867289783045171708e-02,9.347200003685429692e-02,2.979770000092685223e-02,5.543659999966621399e-02,9.940000018104910851e-05,8.132199989631772041e-03,4.915812784880881026e+00,9.223506025234010641e-01,1.868711297591118026e+01,2.003627579389440783e+01,1.780589016310160089e+00,3.158246199948874899e+00,1.502340597462806793e-01
2.100000000000000000e+01,7.829066576311884129e-02,4.146022378721418017e-03,1.138782958917609238e-03,6.961194718764285912e-04,1.371427811958529424e-03,1.536456243997730287e-01,2.073011189360709008e-02,5.693914794588045974e-03,3.480597359382143173e-03,6.857139059792647338e-03,4.152890265574891299e-02,1.225791999604552984e-01,3.257280000252649188e-02,7.809600001201033592e-02,1.280999276787042618e-04,1.177590002771466970e-02,6.229940758124563160e+00,3.133639097810040908e-01,1.832795920999164707e+01,2.045241569273051141e+01,2.329035940308526342e+00,4.611773977150567028e+00,3.116559598080193005e-02
2.200000000000000000e+01,8.464576443136226369e-02,3.561861310320033926e-03,1.426409287087815336e-03,9.597305301760094328e-04,2.180961509702940802e-03,1.627915306178960297e-01,1.780930655160016876e-02,7.132046435439076681e-03,4.798652650880047381e-03,1.090480754851470488e-02,4.400095124492826165e-02,1.087773000472225249e-01,3.424389997962862253e-02,6.670540000777691603e-02,1.764000044204294682e-04,7.643899996764957905e-03,8.962066370867123766e+00,2.474754669724701928e-01,2.140949318319255923e+01,2.029371539702438909e+01,3.571733094506866824e+00,4.651383861629813765e+00,5.010888183095835169e-02
2.300000000000000000e+01,5.878047162750740144e-04,2.049594634916892296e-05,6.725135659274332018e-06,3.694805920572685387e-06,1.336569127871962872e-05,1.355568402323759298e-03,1.024797317458446148e-04,3.362567829637165670e-05,1.847402960286342736e-05,6.682845639359814361e-05,3.663968202363961720e-04,1.249964000307954848e-01,3.217780002159997821e-02,7.925389998126775026e-02,1.541000092402100563e-04,1.340290001826360822e-02,1.111431232739577268e+01,6.421826313615613957e-01,1.991343082915940954e+01,2.125837477026412969e+01,3.019321118272057181e+00,1.001688949661963868e+00,-2.353209344988778651e-01
2.400000000000000000e+01,3.869407637652851062e-02,1.275813053503377934e-03,2.659494154532867066e-04,1.558369349276068937e-04,4.740795807636598996e-04,1.029844369579483443e-01,6.379065267516889452e-03,1.329747077266433533e-03,7.791846746380344958e-04,2.370397903818299498e-03,2.783568145328885537e-02,1.062737999600358307e-01,2.899290004279464483e-02,6.343989999732002616e-02,9.230000432580709457e-05,1.374379999469965696e-02,1.497508978529850054e+01,1.625718874918512802e-01,1.891519901122534009e+01,2.160519442989215122e+01,4.858665178520828576e+00,3.721490729262038055e+00,-3.721098743977874213e-02
2.500000000000000000e+01,2.577608216983179323e-02,6.706321955041229807e-04,5.974340096505596342e-04,3.821809122900262680e-04,1.195120832523942616e-03,4.272905011897391858e-02,3.353160977520614795e-03,2.987170048252798388e-03,1.910904561450131340e-03,5.975604162619713514e-03,1.154924241998853650e-02,1.059148000204004347e-01,3.455059998668730259e-02,6.034960004035383463e-02,8.519995026290416718e-05,1.092440000502392650e-02,1.498757034659565335e+01,9.875338343861164159e-01,2.044151740603683720e+01,1.868164679258710237e+01,2.045398315876191475e+00,1.391944948321751419e+00,1.197032349780757787e-02
2.600000000000000000e+01,4.216746872048654504e-02,2.817466996159915648e-03,3.472609400964560365e-04,2.025864849678821926e-04,5.684949484769178914e-04,8.320103348089959161e-02,1.408733498079957867e-02,1.736304700482280182e-03,1.012932424839410855e-03,2.842474742384589349e-03,2.248842187198068707e-02,1.254200999974273145e-01,3.519529994810000062e-02,7.691110001178458333e-02,9.069999214261770248e-05,1.321730000199750066e-02,4.934404798487797450e+00,7.475499456356871075e-01,1.994529595810772804e+01,2.064597746905429432e+01,2.077197861576738358e+00,3.455433846857528302e+00,-2.500000000000000000e-01
2.700000000000000000e+01,5.823551230220109370e-02,3.042493022052478180e-03,9.306208482784290035e-04,5.213207446212908720e-04,1.334063345798492187e-03,1.076362562359167163e-01,1.521246511026239090e-02,4.653104241392144909e-03,2.606603723106454360e-03,6.670316728992460933e-03,2.909302249844764043e-02,1.022179000428877771e-01,3.156420000595971942e-02,5.685729999095201492e-02,8.410000009462237358e-05,1.370640000095590949e-02,1.376097981870387166e+01,5.519032933086736037e-01,1.946127744656024916e+01,2.087426832227743745e+01,1.646681987190798058e+00,1.442721689616729863e+00,1.577557588561719903e-01
2.800000000000000000e+01,1.281407606615623564e-02,5.854994956575384091e-04,4.616646349669921700e-05,2.527847167242822432e-05,1.348236402045875377e-04,3.276195933473365074e-02,2.927497478287691829e-03,2.308323174834960782e-04,1.263923583621411148e-04,6.741182010229376884e-04,8.855235710999968465e-03,9.500319999642670155e-02,2.878560003591701388e-02,5.791580001823604107e-02,9.459996363148093224e-05,8.196799957659095526e-03,4.000000000000000000e+00,2.305308569897784043e-01,2.147182470709104507e+01,1.800000000000000000e+01,4.795668711589041955e+00,1.215494777527122539e+00,1.073766400849630043e-01
2.900000000000000000e+01,2.448722245024691560e-02,1.061574256810547245e-03,3.243143566066965635e-04,1.888117377506360456e-04,5.346068874626209392e-04,5.157674071689191675e-02,5.307871284052736657e-03,1.621571783033482709e-03,9.440586887531802552e-04,2.673034437313104479e-03,1.394068625709441248e-02,1.015314999967813492e-01,3.289139998378232121e-02,5.905009998241439462e-02,8.849997539073228836e-05,9.495700011029839516e-03,1.023412357573985076e+01,5.122483438169728176e-01,2.200000000000000000e+01,1.800000000000000000e+01,4.973586566460485692e+00,2.610999541730967266e+00,-1.930559080474927025e-01
3.000000000000000000e+01,1.549966126402006587e-02,6.836329005543333517e-04,1.213362232330423300e-05,7.491108933335814103e-06,4.356497964128959612e-05,4.352932259294436251e-02,3.418164502771666759e-03,6.066811161652116332e-05,3.745554466667906797e-05,2.178248982064479738e-04,1.176554820675875142e-02,9.565999999176710844e-02,2.895270002773031592e-02,5.660700000589713454e-02,7.889996049925684929e-05,1.001530000939965248e-02,1.600000000000000000e+01,9.054609332744204542e-01,2.030518454809657314e+01,2.085382161579630278e+01,4.082836170768265660e+00,1.915512618620757834e+00,-2.500000000000000000e-01
