evaluation,objective,C 1s_raw,La 4d_raw,O 1s_raw,Ti 2p_raw,reflectivity_raw,C 1s_weighted,La 4d_weighted,O 1s_weighted,Ti 2p_weighted,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,carbon_thickness,carbon_roughness_fraction,lno_thickness,sto_thickness,superlattice_roughness,substrate_roughness,angle_offset
1.000000000000000000e+00,6.003187190182327458e-03,2.050903584768653284e-04,1.281596975483137110e-04,5.882795256319304204e-05,2.082407104298605817e-04,1.110507845427741343e-02,1.025451792384326696e-03,6.407984877415685279e-04,2.941397628159651899e-04,1.041203552149302936e-03,3.001593595091163729e-03,9.759739995934069157e-02,2.993109996896237135e-02,5.741170002147555351e-02,1.006000093184411526e-04,1.014560001203790307e-02,8.500000000000000000e+00,2.000000000000000111e-01,1.919999999999999929e+01,2.080000000000000071e+01,2.200000000000000178e+00,3.799999999999999822e+00,8.000000000000000167e-02
2.000000000000000000e+00,3.928966311861081112e-02,1.550741033264952436e-03,8.792688222823929990e-04,4.923707486886360479e-04,1.444960439799254865e-03,6.457118879727309635e-02,7.753705166324762615e-03,4.396344111411964670e-03,2.461853743443180240e-03,7.224802198996274107e-03,1.745295789843463036e-02,1.020141000044532120e-01,3.175859997281804681e-02,5.733889999100938439e-02,8.700002217665314674e-05,1.282380003249272704e-02,7.533205690936331855e+00,5.285461991926500291e-02,1.926995289981565662e+01,2.193579707625676178e+01,3.036078653926879145e+00,4.148723602189294368e+00,-1.297440262009580403e-02
3.000000000000000000e+00,2.339614647147474080e-02,8.330172858255993238e-04,4.202166231792050740e-04,2.416249713780313046e-04,7.359083228549062909e-04,4.529321300855285171e-02,4.165086429127996294e-03,2.101083115896025533e-03,1.208124856890156577e-03,3.679541614274531563e-03,1.224231045528603040e-02,9.408140002051368356e-02,2.820559998508542776e-02,5.405589996371418238e-02,9.690003935247659683e-05,1.171759999124333262e-02,1.142466310887437331e+01,2.746281279920042562e-01,2.023985884548781300e+01,1.808123184342428402e+01,3.658201596428500846e+00,2.608913120631648042e+00,2.006225233305821698e-01
4.000000000000000000e+00,9.004272707591499947e-03,1.792124423622840556e-04,4.571745935440517687e-05,2.828688847711229940e-05,1.227448026021288709e-04,2.635857834049650655e-02,8.960622118114202781e-04,2.285872967720258843e-04,1.414344423855614936e-04,6.137240130106443817e-04,7.124464743611847936e-03,1.449344000429846346e-01,4.852339997887611389e-02,6.759539997437968850e-02,9.810004848986864090e-05,2.871049998793751001e-02,1.286608233278636071e+01,2.747789671406639100e-01,1.993833951836016993e+01,2.014015011616229600e+01,4.823642101688612627e+00,2.819895948254453000e+00,-7.625826706732588556e-02
5.000000000000000000e+00,8.068619033114449515e-03,1.128036469078938140e-04,5.502496186683917542e-05,3.737736464533923095e-05,1.336571366613252391e-04,2.358318607242703563e-02,5.640182345394691241e-04,2.751248093341958703e-04,1.868868232266961615e-04,6.682856833066261413e-04,6.374303482707462977e-03,9.551999997347593307e-02,3.070800000568851829e-02,5.643359996611252427e-02,7.910002022981643677e-05,8.293499995488673449e-03,1.074920853655068065e+01,5.123019716161405501e-01,1.938556808145128230e+01,1.937937092463872446e+01,4.784941671562966015e+00,4.681147832936808584e+00,2.267150678286241616e-01
6.000000000000000000e+00,6.745518647322860939e-02,2.045558277095589367e-03,1.000979492883626205e-03,6.141136683248018657e-04,1.476442850459860857e-03,1.545365645678996869e-01,1.022779138547794640e-02,5.004897464418131027e-03,3.070568341624009545e-03,7.382214252299304502e-03,4.176971502940921704e-02,9.764590003760531545e-02,2.976470004068687558e-02,5.686030001379549503e-02,1.015999587252736092e-04,1.091220002854242921e-02,1.521832554587870234e+01,1.089423409553756106e-01,1.875304105303344926e+01,1.944665854705036168e+01,4.750331089934137552e+00,1.281827204161824163e+00,1.714683882771766976e-02
7.000000000000000000e+00,8.661671327926870334e-02,4.068806056626400949e-03,1.502936364774080154e-03,9.161689430256380207e-04,2.085225565727957982e-03,1.618668850337997567e-01,2.034403028313200301e-02,7.514681823870401206e-03,4.580844715128189887e-03,1.042612782863978904e-02,4.375102862849832713e-02,9.262130002025514841e-02,2.787459996761754155e-02,5.544950003968551755e-02,9.360001422464847565e-05,9.198000014293938875e-03,8.643665270536653011e+00,3.359947474278269230e-01,1.894887345616859875e+01,2.009876594637922054e+01,2.272792172498059315e+00,4.059172708522531536e+00,-1.185206989085797191e-01
8.000000000000000000e+00,5.780368271780551154e-02,2.568118873496420037e-03,8.697960076483628915e-04,5.622712178223178382e-04,1.291374465156380942e-03,1.159712147726843640e-01,1.284059436748210062e-02,4.348980038241814783e-03,2.811356089111589299e-03,6.456872325781904710e-03,3.134587989718810169e-02,1.021451000124216080e-01,2.829170000040903687e-02,6.414789997506886721e-02,9.970000246539711952e-05,9.599399985745549202e-03,1.221209843064533018e+01,4.697352231802784939e-01,2.033994312753924660e+01,2.045151540462431683e+01,4.292450768031449648e+00,1.655537955068094647e+00,6.844262404535217392e-02
9.000000000000000000e+00,3.828187162974697362e-03,1.423049130680535906e-04,4.065809095471718321e-05,2.125432771349541601e-05,1.868590350362200742e-05,1.003984325410327977e-02,7.115245653402679261e-04,2.032904547735859093e-04,1.062716385674770801e-04,9.342951751811003373e-05,2.713670986775256616e-03,1.088923999923281372e-01,3.207870002370327711e-02,6.532029999652877450e-02,8.809997234493494034e-05,1.140040002064779401e-02,1.419406964629868106e+01,2.896946668775623457e-01,1.820279666695987331e+01,2.199851303962016758e+01,2.436181059464472831e+00,2.964169117734571479e+00,-3.177213455204275228e-02
1.000000000000000000e+01,2.406598436346966616e-02,1.293036600712177062e-03,2.881603596131832317e-04,1.749582489081696706e-04,4.026837952883395035e-04,4.910200438191575367e-02,6.465183003560885308e-03,1.440801798065916104e-03,8.747912445408483799e-04,2.013418976441697355e-03,1.327178934086031999e-02,1.442992999800480902e-01,6.338449998293071985e-02,6.673889997182413936e-02,1.061999937519431114e-04,1.406329998280853033e-02,1.327421705305908439e+01,6.294971522755254956e-01,1.989273847194798250e+01,2.018234770129620159e+01,2.725885447251471749e+00,2.852737996402280540e+00,1.048747488537386530e-01
1.100000000000000000e+01,1.330642202586010125e-01,5.829167622334587191e-03,1.466627580289322965e-03,8.905043439055183993e-04,1.837347273162062006e-03,3.068775484070243031e-01,2.914583811167293509e-02,7.333137901446615259e-03,4.452521719527592105e-03,9.186736365810310029e-03,8.294598616014355053e-02,1.090761999948881567e-01,3.406829998129978776e-02,6.400760001270100474e-02,9.350001346319913864e-05,1.090190000832080841e-02,4.452144797397558307e+00,5.188118166382870156e-01,1.841374037986842183e+01,2.043068707761232616e+01,3.252832251694543597e+00,2.758769829728783929e+00,-1.094109778266569022e-01
1.200000000000000000e+01,1.376954539539591849e-01,4.405225530360728885e-03,1.839331175169618866e-03,1.194092257206921673e-03,2.776133625011113683e-03,3.204760998882598133e-01,2.202612765180364529e-02,9.196655875848093464e-03,5.970461286034608149e-03,1.388066812505556885e-02,8.662154101521726823e-02,1.101085999980568886e-01,3.162959998007863760e-02,7.020700001157820225e-02,9.109999518841505051e-05,8.175800030585378408e-03,8.173454808411520389e+00,9.911641917282653091e-01,2.098551822558226121e+01,2.150049625812651044e+01,4.726206450823553951e+00,3.219943278934780384e+00,1.946646242568806917e-01
1.300000000000000000e+01,1.986824095727859063e-01,5.195804291935331859e-03,1.518613831821838227e-03,9.487046621469409852e-04,2.046545850349627826e-03,5.554551384518313650e-01,2.597902145967665929e-02,7.593069159109191134e-03,4.743523310734704818e-03,1.023272925174813913e-02,1.501340663915172180e-01,9.998469997663050890e-02,3.192780003882944584e-02,5.966369999805465341e-02,7.128999568521976471e-04,7.673699990846216679e-03,6.193929116547671754e+00,3.150749204317322971e-01,1.829627899416720282e+01,1.929969740175861403e+01,4.739843348974986270e+00,4.773648934695412294e+00,-2.082274885270272158e-01
1.400000000000000000e+01,3.888620568926603321e-02,1.204568966482682342e-03,8.061044931189049545e-04,4.508836842529012601e-04,1.383392028108927944e-03,7.274204418903784664e-02,6.022844832413411925e-03,4.030522465594524664e-03,2.254418421264506138e-03,6.916960140544639937e-03,1.966145982944894968e-02,1.118272000458091497e-01,3.312789998017251492e-02,7.045190001372247934e-02,8.600001456215977669e-05,8.156099996995180845e-03,6.340114232744212153e+00,2.814515535948092784e-01,1.873165976741535133e+01,2.157348168160480384e+01,3.679896807652344837e+00,1.691464617012521376e+00,1.712188439108326965e-01
1.500000000000000000e+01,1.699983930539872984e-03,4.458131465007995648e-05,7.604092663754209920e-05,4.749578718924795469e-05,4.861977249703557411e-05,2.280123302413425250e-03,2.229065732503997688e-04,3.802046331877104689e-04,2.374789359462397870e-04,2.430988624851778638e-04,6.162949256703451496e-04,1.113780000014230609e-01,3.124550002394244075e-02,6.468359997961670160e-02,9.049999061971902847e-05,1.535299996612593532e-02,1.096656368066830289e+01,1.573071033711994915e-01,1.854183392765113680e+01,2.033906994091280396e+01,1.645357596992844673e+00,2.468294368564273533e+00,2.324758142597594390e-01
1.600000000000000000e+01,8.365516341689830868e-03,1.667580645719404916e-04,2.040106552968734793e-04,1.342781558682952308e-04,5.117671933844640357e-04,1.214045608624705723e-02,8.337903228597024581e-04,1.020053276484367451e-03,6.713907793414761269e-04,2.558835966922320179e-03,3.281445996081963894e-03,1.309603999834507704e-01,3.155429998878389597e-02,8.635970001341775060e-02,1.148999435827136040e-04,1.292459998512640595e-02,1.275611801172400384e+01,7.280441505399541935e-01,2.002963904960704511e+01,1.850642041918972680e+01,1.336846916204483371e+00,2.602336276874702037e+00,2.428909668261199917e-01
1.700000000000000000e+01,8.054352353727325942e-02,4.013242696151832559e-03,1.365082310139080751e-03,8.502247592248670131e-04,2.256966550703201797e-03,1.410185997445763117e-01,2.006621348075916106e-02,6.825411550695404186e-03,4.251123796124334740e-03,1.128483275351600812e-02,3.811594195617834524e-02,1.449513999978080392e-01,4.411279998021200299e-02,8.230870001716539264e-02,3.901000018231570721e-04,1.813320000655949116e-02,7.886823814849947212e+00,3.891708794894178647e-01,1.955142695476887837e+01,1.887445452877861385e+01,1.493111966025980841e+00,2.421171319254010967e+00,5.888149383771190681e-02
1.800000000000000000e+01,8.123033931218217110e-03,2.000258956391135704e-04,3.136782584752014348e-05,1.810022857638730607e-05,1.302510405281042392e-04,2.302824727515119171e-02,1.000129478195567771e-03,1.568391292376007174e-04,9.050114288193652698e-05,6.512552026405212229e-04,6.224308978262590303e-03,1.670876999851316214e-01,3.931859997101128101e-02,1.084318000357598066e-01,1.216999371536076069e-04,1.920690003316849470e-02,7.827242823547678974e+00,6.352815040233761312e-01,1.931693161870712672e+01,2.026360390987765214e+01,4.739864440505083820e+00,4.272745186585298782e+00,6.607541177176406988e-02
1.900000000000000000e+01,7.378839734705497366e-02,3.212187821003878192e-03,9.303904339869694231e-04,6.355580414232989703e-04,1.269579456841463810e-03,1.611224626811570138e-01,1.606093910501939226e-02,4.651952169934847441e-03,3.177790207116494743e-03,6.347897284207319052e-03,4.354981858077691670e-02,1.874683999922126532e-01,5.551380000542849302e-02,1.138802000205032527e-01,1.229999470524489880e-04,1.794559997506439686e-02,1.306321731070501002e+01,5.314607035644771660e-01,2.090021823430869219e+01,1.914669462091173102e+01,3.791692158931482481e+00,4.592619649845859797e+00,2.429647429985343776e-01
2.000000000000000000e+01,2.596563292355989414e-02,1.031083713599780308e-03,4.096331002266935485e-05,3.392831685866504285e-05,1.175787903484459484e-05,7.538922512121246089e-02,5.155418567998901538e-03,2.048165501133467742e-04,1.696415842933252007e-04,5.878939517422297084e-05,2.037696682598009665e-02,1.620230999542400241e-01,5.138289998285472393e-02,9.613269998226314783e-02,1.438999897800385952e-04,1.435449998825788498e-02,1.596663916532693150e+01,5.845775363225461652e-01,2.161755302701104497e+01,1.807757204509783833e+01,3.077721877009958362e+00,2.049663801072582281e+00,7.901242308847905571e-02
2.100000000000000000e+01,1.828857400223685495e-02,7.227648400362546213e-04,3.094668656178815131e-04,1.928149270689147733e-04,4.150769958311976765e-04,3.732268800342062459e-02,3.613824200181273323e-03,1.547334328089407674e-03,9.640746353445739207e-04,2.075384979155988491e-03,1.008795585946561241e-02,1.619467000127770007e-01,4.600159998517483473e-02,9.480120002990588546e-02,8.850003359839320183e-05,2.105019998271018267e-02,1.182033489729853493e+01,5.165935572370253803e-01,1.934789858902712467e+01,2.045893373847985686e+01,4.325515324869362743e+00,1.639079501033395836e+00,-1.087986652191776649e-01
2.200000000000000000e+01,5.257329861229594753e-02,2.285431960064353632e-03,1.177297895028837828e-03,7.592017173954703239e-04,1.812491537260980555e-03,8.287827365975326821e-02,1.142715980032176816e-02,5.886489475144189576e-03,3.796008586977351728e-03,9.062457686304902990e-03,2.240118306354773811e-02,1.707426000502891839e-01,4.950070002814754844e-02,1.002279999665915966e-01,1.012000720947980881e-04,2.090429997770115733e-02,6.177446003518618944e+00,7.360981248458391413e-01,2.108766362235617109e+01,2.077906615796971579e+01,2.409521513786780034e+00,4.201620815017339083e+00,-9.521594584941586725e-02
2.300000000000000000e+01,8.670660084747933150e-02,4.267561639917372140e-03,8.794251156573375250e-04,5.416951273468974823e-04,1.132210094808633848e-03,1.946135889835559352e-01,2.133780819958686070e-02,4.397125578286687625e-03,2.708475636734487303e-03,5.661050474043169238e-03,5.260214095882813357e-02,1.165498000336810946e-01,3.399379999609664083e-02,6.606499996269121766e-02,9.130005491897463799e-05,1.639399997657164931e-02,4.817027290932919925e+00,6.242355737922472558e-01,1.861959620562152296e+01,1.937272604820888233e+01,3.411080272363860466e+00,4.471240595151277475e+00,2.137282065630511374e-01
2.400000000000000000e+01,1.265487247010421978e-01,4.407015774371880225e-03,1.612939602722327209e-03,1.079727412396729556e-03,2.425401071942705471e-03,2.919947256361489774e-01,2.203507887185940026e-02,8.064698013611636476e-03,5.398637061983647782e-03,1.212700535971352779e-02,7.892330539387398813e-02,1.435963999829255044e-01,4.843269998673349619e-02,8.312969998223707080e-02,1.395000144839286804e-04,1.188810000894591212e-02,1.249605736688688395e+01,9.224565105506952190e-01,2.181589986659853508e+01,2.143278621850543786e+01,4.847302824547409017e+00,3.883930801817566447e+00,-1.403740381974965257e-01
2.500000000000000000e+01,1.060521612359856258e-01,3.558508746118052048e-03,1.645246899267770657e-03,1.079641373634184680e-03,2.575785147728606832e-03,2.284812996937633511e-01,1.779254373059025937e-02,8.226234496338852634e-03,5.398206868170923184e-03,1.287892573864303503e-02,6.175625040224255735e-02,1.293742000125348568e-01,4.024479998042806983e-02,7.183219998842105269e-02,8.209998486563563347e-05,1.720760000171139836e-02,4.945870956790901829e+00,4.058352194685660441e-01,2.114483649582675184e+01,2.045390148146341502e+01,3.886240702488508170e+00,1.521472674688671756e+00,2.435565550994730488e-01
2.600000000000000000e+01,2.828092043298584268e-02,1.185103011664723292e-03,1.587571790074551921e-04,1.075962146466307557e-04,3.018508016530432555e-04,7.219790516695215321e-02,5.925515058323616024e-03,7.937858950372759332e-04,5.379810732331537920e-04,1.509254008265216223e-03,1.951438439812657952e-02,1.201009000069461763e-01,3.093080001417547464e-02,7.055880001280456781e-02,9.439996210858225822e-05,1.851169997826218605e-02,7.559795702290925234e+00,2.329330532270699750e-01,1.864319407136777329e+01,2.073926674366537526e+01,4.972942855474305368e+00,1.228108304169030607e+00,1.372135053480050271e-03
2.700000000000000000e+01,1.313213032054096757e-02,3.750341318221162121e-04,2.514449306588655919e-04,1.168309109947455326e-04,4.460539913335426730e-04,2.658369104745249636e-02,1.875170659110581006e-03,1.257224653294327851e-03,5.841545549737277038e-04,2.230269956667713365e-03,7.185310496494617429e-03,1.100856999983079731e-01,3.407170000718906522e-02,6.665189994964748621e-02,1.428000396117568016e-04,9.213400015141814947e-03,7.814138792570058278e+00,7.718249843487036133e-01,1.858439146169746792e+01,2.110748280019377532e+01,2.430028658349351112e+00,1.122745657617339354e+00,1.849041391364097953e-01
2.800000000000000000e+01,2.123903131179441239e-01,6.597209117239694227e-03,2.543765499402502774e-03,1.726727170779551691e-03,3.774373892108598503e-03,5.149278359527926785e-01,3.298604558619847027e-02,1.271882749701251300e-02,8.633635853897758672e-03,1.887186946054299208e-02,1.391799347202923864e-01,1.193702999735251069e-01,3.403709997655823827e-02,7.414049998624250293e-02,8.570001227781176567e-05,1.110190001782029867e-02,1.338214781149375909e+01,1.680517958808732948e-01,2.179603150933026967e+01,2.181093692078232849e+01,1.229571948347808252e+00,2.187859324273266459e+00,7.610030621200031264e-02
2.900000000000000000e+01,5.136033975851830857e-02,1.470248614324154001e-03,8.438266761255696973e-04,5.009003281771937316e-04,1.438687768170172345e-03,1.113322852436972182e-01,7.351243071620770439e-03,4.219133380627848595e-03,2.504501640885968550e-03,7.193438840850861944e-03,3.009202282453286165e-02,1.403872999944724143e-01,3.317209996748715639e-02,9.760300000198185444e-02,8.620001608505845070e-05,9.519800019916146994e-03,1.504548139971624110e+01,3.104189856379092199e-02,2.048854628573920422e+01,1.823265041794350694e+01,4.053397163023305438e+00,2.147313287922414382e+00,-2.077349237254710879e-02
3.000000000000000000e+01,1.096597023633247708e-01,3.222514379990042144e-03,1.710226144219324004e-03,1.079693505893025447e-03,3.041580656681497265e-03,2.382240827246765724e-01,1.611257189995021072e-02,8.551130721096620452e-03,5.398467529465126799e-03,1.520790328340748676e-02,6.438962892940532090e-02,9.920100000454112887e-02,2.864149998640641570e-02,5.918049998581409454e-02,8.049997268244624138e-05,1.129330002004280686e-02,1.498228371971939588e+01,1.304498855052194442e-02,2.001440526161034938e+01,1.830151084918959370e+01,2.310612138492665224e+00,1.136446924048558849e+00,-2.033972590483532072e-01
3.100000000000000000e+01,2.829031058922015784e-02,9.955321533604809259e-04,5.433622765484563688e-04,3.320674162418367514e-04,1.092415022241867428e-03,4.984800599535015031e-02,4.977660766802404629e-03,2.716811382742281844e-03,1.660337081209183703e-03,5.462075111209337142e-03,1.347342624725694944e-02,1.048828999628312886e-01,3.669969999464228749e-02,5.938990000868216157e-02,1.702999579720199108e-04,8.615999948233366013e-03,1.206592708686432047e+01,9.950963063175106704e-01,2.116861075153685690e+01,1.835391130492246603e+01,3.062714059397683375e+00,4.595279072332106196e+00,-9.832451964520236287e-02
3.200000000000000000e+01,8.043901729362496617e-03,1.543282505730964418e-04,5.028055821682645451e-05,3.213709498101024705e-05,7.536589715365927253e-05,2.398660155790161702e-02,7.716412528654822359e-04,2.514027910841322997e-04,1.606854749050512488e-04,3.768294857682963762e-04,6.483342724739534456e-03,1.016899999813176692e-01,3.139199997531250119e-02,5.829309998080134392e-02,8.710002293810248375e-05,1.191239996114745736e-02,1.369230830258666032e+01,3.847607774222855381e-01,1.927522501399313626e+01,1.949074884811002661e+01,3.418919512912361736e+00,2.235701577750655922e+00,2.255813371052319272e-01
3.300000000000000000e+01,6.424203796039485923e-03,3.593430386328291728e-04,8.797301691096581159e-05,5.984696618887977367e-05,8.602650106270428698e-05,1.279460559870649120e-02,1.796715193164145864e-03,4.398650845548290715e-04,2.992348309443988480e-04,4.301325053135214484e-04,3.458256182062590962e-03,1.000467999838292599e-01,2.934609999647364020e-02,5.998139997245743871e-02,8.680002065375447273e-05,1.062739995541051030e-02,8.522363703781508093e+00,4.400995003373138204e-01,1.916909232901712201e+01,2.031634940863698091e+01,2.048171223138855801e+00,3.759799405413894569e+00,7.434743907872459756e-02
3.400000000000000000e+01,1.477871333499771456e-01,5.585182799422945543e-03,2.006143513698873532e-03,1.314437276557366098e-03,3.025360635252255254e-03,3.260625819420973626e-01,2.792591399711472772e-02,1.003071756849436766e-02,6.572186382786830705e-03,1.512680317626127584e-02,8.813151222531995233e-02,1.088729999610222876e-01,3.273179999087005854e-02,6.605780002428218722e-02,8.159992285072803497e-05,9.995700034778565168e-03,1.450496910338146606e+01,5.984632432536488578e-01,2.148677288141471564e+01,2.172145726093363649e+01,1.718187026956056407e+00,2.464390874253571617e+00,-1.261168609231783366e-01
3.500000000000000000e+01,4.094550516120556288e-02,2.056248063090501677e-03,4.664990826461788481e-04,2.841835923938878226e-04,7.421245611158436067e-04,8.583452466818096427e-02,1.028124031545250838e-02,2.332495413230894349e-03,1.420917961969439059e-03,3.710622805579218142e-03,2.320022866497349970e-02,1.034235999686643481e-01,2.939470001729205251e-02,6.430679996265098453e-02,1.008000108413398266e-04,9.615799994207918644e-03,7.651393111214898290e+00,1.809645876357855176e-01,2.142449033295967453e+01,1.800503690729664541e+01,4.907489454918254168e+00,3.228339322529474309e+00,-1.086642876970626836e-01
3.600000000000000000e+01,2.814277535269157915e-02,1.592626429014636080e-03,3.369450537118380442e-04,2.054959576445527516e-04,6.440227566702818327e-04,5.271121817530873693e-02,7.963132145073180401e-03,1.684725268559190275e-03,1.027479788222763731e-03,3.220113783351409055e-03,1.424732436748503417e-02,1.015264999587088823e-01,3.292629995848983526e-02,5.719429999589920044e-02,8.279999019578099251e-05,1.131750002969056368e-02,6.854042589588583034e+00,5.100980400303436468e-01,2.040003889095348910e+01,1.866603937959175141e+01,2.662829517544148317e+00,1.778669565484872317e+00,6.851660549713028958e-02
3.700000000000000000e+01,1.779342124510694678e-01,5.589133650749139939e-03,2.143086129965697268e-03,1.311279620811750578e-03,3.525602669984946071e-03,4.257968393987702771e-01,2.794566825374569796e-02,1.071543064982848591e-02,6.556398104058752674e-03,1.762801334992472949e-02,1.150887020935117966e-01,1.073892999556846917e-01,3.227190003963187337e-02,6.419539998751133680e-02,9.519996820017695427e-05,1.082210004096850753e-02,9.405208125801387098e+00,3.353966377350502959e-01,1.914372599915228790e+01,1.837396448747633926e+01,1.482113119917976007e+00,2.197213576003441915e+00,-1.605340186226366095e-01
3.800000000000000000e+01,5.671473559978539893e-03,1.143527143489828855e-04,1.049364360291310544e-04,6.993472895640820061e-05,1.761129069673547588e-04,1.237481026676938954e-02,5.717635717449144140e-04,5.246821801456552853e-04,3.496736447820410166e-04,8.805645348367737400e-04,3.344789628469155545e-03,1.102284999797120690e-01,4.026249999878928065e-02,6.193279998842626810e-02,9.099999442696571350e-05,7.936400012113153934e-03,8.522099742767210273e+00,6.956573725496538740e-01,1.956752427971820651e+01,1.966298716310345540e+01,3.611485748146247232e+00,4.815799720478704415e+00,2.369481479325624695e-01
3.900000000000000000e+01,1.240736962336207866e-02,6.192787332979953667e-04,2.373905229116201211e-04,1.823118217629930444e-04,2.555485850110356810e-04,2.195685180109777437e-02,3.096393666489976725e-03,1.186952614558100605e-03,9.115591088149652219e-04,1.277742925055178405e-03,5.934721308443858569e-03,1.180789999780245125e-01,3.397019999101758003e-02,6.353769998531788588e-02,1.307000056840479374e-04,2.043019997654482722e-02,9.133007825379202416e+00,1.130844774507236139e-01,2.173209955136517735e+01,1.882357156052418645e+01,2.336664410227454525e+00,4.881010404878969311e+00,-1.735755810982320124e-02
4.000000000000000000e+01,3.787989212182488186e-02,2.677936743687255126e-03,5.151469739727816211e-04,2.653579303092861775e-04,8.183347310402255218e-04,6.103074315274146372e-02,1.338968371843627519e-02,2.575734869863907997e-03,1.326789651546430833e-03,4.091673655201127392e-03,1.649601022677713719e-02,9.480870002880692482e-02,3.096930001629516482e-02,5.556879995856434107e-02,8.720002369955182076e-05,8.177699986845254898e-03,8.220678961122855455e+00,9.229019552019461781e-01,1.878398547048316303e+01,1.980907139166211550e+01,1.179449136888422789e+00,3.550533514172528715e+00,1.762463077718779414e-01
4.100000000000000000e+01,1.686541098741840480e-02,3.976901894605149534e-04,2.640940405483426065e-04,1.470137080303075166e-04,5.082629113870792970e-04,3.803359390689529246e-02,1.988450947302574604e-03,1.320470202741712978e-03,7.350685401515376100e-04,2.541314556935396485e-03,1.028010674028718291e-02,9.671880002133548260e-02,2.957639994565397501e-02,5.688729998655617237e-02,8.710002293810248375e-05,1.016270002583041787e-02,1.386633333476508589e+01,4.366912724096907450e-01,2.085661250496766073e+01,1.852044017217645333e+01,3.605403100438909547e+00,4.732525413037686590e+00,-3.143148957841734870e-03
4.200000000000000000e+01,2.035044157981392710e-01,4.750539550767689939e-03,2.349574735571710420e-03,1.383167872071860939e-03,3.652895944024226599e-03,5.284081282725779927e-01,2.375269775383844970e-02,1.174787367785855297e-02,6.915839360359304910e-03,1.826447972012113299e-02,1.428235252859618443e-01,9.361450001597404480e-02,2.759700000751763582e-02,5.351409997092559934e-02,9.013999952003359795e-04,1.159529999131336808e-02,1.378635012146192729e+01,5.023038605267916845e-02,1.820640943701880587e+01,1.838140019195830988e+01,1.277200848191819560e+00,3.046423082042051700e+00,-2.141489983414432419e-01
