evaluation,objective,C 1s_raw,La 4d_raw,O 1s_raw,Ti 2p_raw,reflectivity_raw,C 1s_weighted,La 4d_weighted,O 1s_weighted,Ti 2p_weighted,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,carbon_thickness,carbon_roughness_fraction,lno_thickness,sto_thickness,superlattice_roughness,substrate_roughness,angle_offset
1.000000000000000000e+00,6.003187190182327458e-03,2.050903584768653284e-04,1.281596975483137110e-04,5.882795256319304204e-05,2.082407104298605817e-04,1.110507845427741343e-02,1.025451792384326696e-03,6.407984877415685279e-04,2.941397628159651899e-04,1.041203552149302936e-03,3.001593595091163729e-03,1.824628999456763268e-01,4.424720001406967640e-02,1.206017999793402851e-01,1.422000350430607796e-04,1.745990000199526548e-02,8.500000000000000000e+00,2.000000000000000111e-01,1.919999999999999929e+01,2.080000000000000071e+01,2.200000000000000178e+00,3.799999999999999822e+00,8.000000000000000167e-02
2.000000000000000000e+00,1.362678044098263042e-01,4.725209952962486012e-03,1.604818792352912058e-03,1.090279395458714591e-03,2.403611905402082242e-03,3.224246100935530546e-01,2.362604976481243180e-02,8.024093961764559857e-03,5.451396977293573171e-03,1.201805952701041208e-02,8.714820417894532378e-02,2.111921000177972019e-01,6.142129999352619052e-02,1.154924000147730112e-01,9.589997353032231331e-05,3.417609998723492026e-02,1.249090650441985950e+01,3.139208476991696695e-01,2.140037247764102446e+01,1.990600650837807706e+01,3.435846144936852919e+00,2.010720880472830707e+00,2.210314639571212547e-01
3.000000000000000000e+00,9.417592383774510412e-02,3.658230071849018217e-03,1.473760245987854392e-03,9.212888480926171089e-04,2.250940668724010080e-03,1.948085043396708682e-01,1.829115035924509108e-02,7.368801229939271960e-03,4.606444240463085545e-03,1.125470334362005040e-02,5.265482466447760773e-02,1.815963999833911657e-01,4.973850003443658352e-02,1.071214000112377107e-01,1.352999825030565262e-04,2.459380001528188586e-02,9.670626421453189181e+00,1.840140202816315240e-01,2.003710377223956840e+01,2.108241289798019125e+01,4.083681206209059944e+00,1.480270001136060998e+00,1.982721067765452205e-01
4.000000000000000000e+00,1.835982185919098411e-02,9.770890627622996934e-04,2.840983441897974751e-04,2.119058368015981457e-04,3.309968663174925286e-04,3.455312913375627182e-02,4.885445313811498033e-03,1.420491720948987430e-03,1.059529184007990728e-03,1.654984331587462752e-03,9.339371308835045168e-03,1.483982999925501645e-01,5.018159997416660190e-02,8.392070000991225243e-02,9.589997353032231331e-05,1.419389998773112893e-02,1.151991128965720002e+01,5.733599941187116356e-01,2.184221792089363490e+01,1.971657797159580383e+01,2.573403845577925342e+00,4.733300756768717754e+00,-2.131895058424636558e-01
5.000000000000000000e+00,2.234671684392912708e-02,1.240635409874515753e-03,3.413333629496253575e-04,2.262993128034076703e-04,3.206456159766456031e-04,4.329476034543078278e-02,6.203177049372578765e-03,1.706666814748126733e-03,1.131496564017038433e-03,1.603228079883228015e-03,1.170214833590815448e-02,1.405857999925501645e-01,4.659929999615997076e-02,7.617779995780438185e-02,1.043000374920666218e-04,1.769830001285299659e-02,9.019891776403621719e+00,7.618856992280033102e-01,1.900656727439838534e+01,2.146259508401363192e+01,3.175931604057794289e+00,3.525068769818179959e+00,-2.208800735453769204e-01
6.000000000000000000e+00,7.541673477963983102e-03,3.796905820937701765e-04,2.131736625573912297e-06,3.567961856896442170e-06,5.592082058946482715e-05,1.973848283134753759e-02,1.898452910468850828e-03,1.065868312786956106e-05,1.783980928448221170e-05,2.796041029473241425e-04,5.335117972135456667e-03,1.242769000236876309e-01,3.672979999100789428e-02,7.305669999914243817e-02,2.062999992631375790e-04,1.427600003080442548e-02,1.456406875007255408e+01,8.564955943030241325e-01,1.897506717408898780e+01,2.129666405873502910e+01,3.690072697043517813e+00,2.849374815915658665e+00,-5.158115266438451085e-02
7.000000000000000000e+00,1.564851692359744695e-01,4.829457138173671830e-03,1.877983008236191196e-03,1.138746764014858266e-03,3.384113878594940082e-03,3.712072235503786621e-01,2.414728569086836002e-02,9.389915041180956629e-03,5.693733820074290894e-03,1.692056939297470128e-02,1.003336652908761589e-01,1.081176999723538756e-01,3.187040000921115279e-02,6.809529999736696482e-02,8.370005525648593903e-05,8.061900036409497261e-03,1.025365960750571936e+01,9.318150186684533987e-01,1.977864218396401697e+01,1.827511619815506450e+01,1.814129205799584144e+00,2.936758059587798009e+00,-2.303717865585147573e-01
8.000000000000000000e+00,1.568617168501319770e-01,4.897695853226685138e-03,2.088159294085202827e-03,1.226168421054380734e-03,3.306470490856841006e-03,3.672691642473599472e-01,2.448847926613342482e-02,1.044079647042601457e-02,6.130842105271903236e-03,1.653235245428420416e-02,9.926924655401642150e-02,1.095761000178754330e-01,3.382469998905435205e-02,6.374000001233071089e-02,9.539996972307562828e-05,1.191020000260323286e-02,1.078035824605981396e+01,4.519885521309727761e-01,1.832210816672145626e+01,1.824661021077681511e+01,1.424678121653541574e+00,3.055348266141459046e+00,1.536582600665965526e-01
9.000000000000000000e+00,9.294144056786919628e-02,3.816163859057710404e-03,1.428864679491473680e-03,9.654934138409999823e-04,2.159789952356039582e-03,1.890186393463509917e-01,1.908081929528855289e-02,7.144323397457368399e-03,4.827467069204999586e-03,1.079894976178019834e-02,5.108988104413807185e-02,1.205615999642759562e-01,3.329560003476217389e-02,7.315630000084638596e-02,9.279994992539286613e-05,1.401169999735429883e-02,1.016590652895271951e+01,3.626542649877915747e-01,2.142378781370039320e+01,2.007663038310587567e+01,3.734897306957214891e+00,4.946219386499844717e+00,9.922264479205361587e-02
1.000000000000000000e+01,1.742761233198522053e-01,5.469440382218064382e-03,1.434732360403178199e-03,8.900125586880485449e-04,1.940361353459303531e-03,4.646983198742385412e-01,2.734720191109032278e-02,7.173661802015890779e-03,4.450062793440242616e-03,9.701806767296518308e-03,1.256033900460092334e-01,1.011211000150069594e-01,2.916099998401477933e-02,5.972509999992325902e-02,1.038999762386083603e-04,1.212520000990480185e-02,4.141458894077704400e+00,8.962468417677922350e-01,1.890956101280659496e+01,1.906250296989654203e+01,4.319217109874045946e+00,4.652589979801165398e+00,-7.352905310273685768e-02
