evaluation,objective,C 1s_raw,La 4d_raw,O 1s_raw,Ti 2p_raw,reflectivity_raw,C 1s_weighted,La 4d_weighted,O 1s_weighted,Ti 2p_weighted,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,carbon_thickness,carbon_roughness_fraction,lno_thickness,sto_thickness,superlattice_roughness,substrate_roughness,angle_offset
1.000000000000000000e+00,5.549200584758313612e-04,3.393257515864945325e-05,1.328492867727001823e-05,1.242821481694289191e-05,1.541318270615466888e-05,6.645655984440371547e-04,1.696628757932472798e-04,6.642464338635009624e-05,6.214107408471446464e-05,7.706591353077334779e-05,1.796255516807461320e-04,1.064712000079452991e-01,2.842429996235296130e-02,6.535109999822452664e-02,1.274999813176691532e-04,1.256080000894144177e-02,9.410579731734918241e+00,9.114143562238500307e-01,2.097292620126426144e+01,1.819773838057091453e+01,2.663720850951412533e+00,2.608559633929656840e+00,1.943248691982123466e-01
2.000000000000000000e+00,2.382216468494766440e-02,1.122001198201653081e-03,3.101765373326002416e-04,2.281799059916075944e-04,3.149119785431984779e-04,5.159572153080528578e-02,5.610005991008265407e-03,1.550882686663001154e-03,1.140899529958037863e-03,1.574559892715992390e-03,1.394581658460236802e-02,1.801681000506505370e-01,5.196440004510805011e-02,1.147964000119827688e-01,1.333000254817306995e-04,1.326690003043040633e-02,1.143714273417078786e+01,3.155119326950743264e-01,2.108810183247317127e+01,1.838155623625232593e+01,3.623642239554272670e+00,1.666648252614614023e+00,2.285276410219861942e-01
3.000000000000000000e+00,6.913471716086990078e-03,3.457706588868138882e-04,1.001081156318484950e-04,7.074986493887532014e-05,2.555077870273374848e-04,1.129448966256358343e-02,1.728853294434069387e-03,5.005405781592424342e-04,3.537493246943766278e-04,1.277538935136687424e-03,3.052789583662614097e-03,1.141061000525951385e-01,3.202899999450892210e-02,6.916579999960958958e-02,8.389999857172369957e-05,1.282130001345649362e-02,8.974752657520111754e+00,4.913355463431117176e-01,2.031363371951803742e+01,1.932884403775274507e+01,1.413360611852083171e+00,1.753573096129856124e+00,2.764615800555686453e-02
4.000000000000000000e+00,5.048215644370038224e-02,2.449115964622905397e-03,8.841343841132150464e-04,5.440650890982853252e-04,1.072282388314419604e-03,9.520940724062311455e-02,1.224557982311452742e-02,4.420671920566074907e-03,2.720325445491426734e-03,5.361411941572098022e-03,2.573416731295625690e-02,1.187887000269256532e-01,3.365100000519305468e-02,7.045629998901858926e-02,8.470000466331839561e-05,1.459069998236373067e-02,8.918311536242626403e+00,6.591097766312881134e-01,1.839306669957125351e+01,2.015297161252445335e+01,2.626793208644017330e+00,1.478047225293657618e+00,1.143930253756956228e-01
5.000000000000000000e+00,6.907578424829044494e-02,3.620469074057640520e-03,1.021918626657840118e-03,6.731589439991347021e-04,2.199291679436553813e-03,1.165473094477448290e-01,1.810234537028820173e-02,5.109593133289200804e-03,3.365794719995673402e-03,1.099645839718276993e-02,3.150159262753460254e-02,1.446429000352509320e-01,4.398850002326071262e-02,7.661039999220520258e-02,1.195000368170440197e-04,2.391609997721388936e-02,6.747473950428249267e+00,2.469502782352074877e-01,2.121859592668061012e+01,1.807811741138773343e+01,1.409998720975755848e+00,3.936792554636350694e+00,-1.084058059755640679e-01
6.000000000000000000e+00,1.091048751434585268e-01,4.191275607548163203e-03,1.612709678570265447e-03,1.091639626856693007e-03,2.497381936052619870e-03,2.299004800119182346e-01,2.095637803774081515e-02,8.063548392851328100e-03,5.458198134283465466e-03,1.248690968026310022e-02,6.213984089831981611e-02,1.670104999793693423e-01,4.154800000833347440e-02,1.093188999802805483e-01,1.310000079683959484e-04,1.600350002991035581e-02,9.748669301386209796e+00,1.694937087366231998e-01,2.176437243411274025e+01,2.105160269693328345e+01,3.602445949413010773e+00,4.521555610770460198e+00,-7.799087001568413835e-02
7.000000000000000000e+00,1.222212005138815505e-01,3.012158275239027339e-03,1.467511429780778143e-03,8.659630105146602988e-04,2.252414553573652521e-03,3.116316169179613738e-01,1.506079137619513626e-02,7.337557148903890714e-03,4.329815052573301494e-03,1.126207276786826347e-02,8.423096416834095768e-02,1.168028999818488955e-01,3.477780002867802978e-02,6.537900003604590893e-02,7.599993841722607613e-05,1.656309998361393809e-02,1.482967034764488368e+01,9.311929601315860339e-01,1.869563473998001513e+01,1.815163303349021362e+01,3.822046746839539377e+00,1.822114961804883082e+00,6.995441141031671917e-02
8.000000000000000000e+00,8.781154431621747414e-02,3.562323664264819851e-03,7.912023723502107416e-04,5.063574863957133422e-04,1.122635690296648267e-03,2.142103327327102291e-01,1.781161832132410056e-02,3.956011861751053925e-03,2.531787431978566819e-03,5.613178451483241335e-03,5.789894824968051801e-02,1.310749000404030085e-01,3.267380001489073038e-02,9.118839999428018928e-02,1.614000066183507442e-04,7.043400022666901350e-03,5.805456755258864732e+00,8.229307977838736798e-01,1.925053803670254382e+01,1.895916875339517560e+01,4.925069381571971050e+00,3.845890869161096237e+00,9.411911400891270763e-02
9.000000000000000000e+00,3.693833782307869018e-02,1.183573630357255373e-03,8.413338563233150897e-04,5.683454764224262976e-04,1.204351012562742502e-03,6.641128545239251280e-02,5.917868151786276863e-03,4.206669281616575232e-03,2.841727382112131488e-03,6.021755062813712728e-03,1.795031794474999040e-02,1.709090999793261290e-01,5.039599997689947486e-02,1.021884999936446548e-01,1.529000001028180122e-04,1.816159998998045921e-02,4.236127969772605972e+00,5.576379269593019217e-01,2.116149657770635883e+01,1.889662282557417328e+01,3.257878833779195737e+00,1.554296253505588865e+00,2.272746171648264424e-01
1.000000000000000000e+01,7.482014225547344022e-02,3.699289071899649565e-03,1.457520550415555925e-03,8.885677545181500450e-04,1.873883934285605060e-03,1.303185946116897642e-01,1.849644535949824739e-02,7.287602752077779189e-03,4.442838772590750225e-03,9.369419671428024649e-03,3.522383569987863616e-02,1.659974000067450106e-01,4.747700004372745752e-02,1.007853000191971660e-01,1.576999784447252750e-04,1.756710000336170197e-02,9.525717711693328482e+00,1.926303300426588927e-01,1.862087429724767418e+01,2.047586645400655669e+01,2.089549604682622075e+00,1.486239123548209751e+00,-9.458034219940139598e-02
