angle_deg,reflectivity,la4d_rc,o1s_rc,ti2p_rc,c1s_rc
6.915650706368666079e+00,9.473608091090709310e-04,1.004460014713961513e+00,1.005121066915591665e+00,1.000691462385792763e+00,1.011165298685208658e+00
6.940650706368666434e+00,9.470548461082054338e-04,1.004257262228583913e+00,1.004869149230607439e+00,1.000273009340421293e+00,1.011221952502741495e+00
6.965650706368665901e+00,9.407110094047000000e-04,1.004218800615274132e+00,1.004763225074895239e+00,9.997963411515179422e-01,1.011239340809414244e+00
6.990650706368666256e+00,9.271251008969235178e-04,1.004314145592275720e+00,1.004777305350472272e+00,9.993337876637075068e-01,1.011136527140314101e+00
7.015650706368665723e+00,9.061596788393416410e-04,1.004494341589314388e+00,1.004868957686522402e+00,9.989577163499293588e-01,1.010847961896762071e+00
7.040650706368666079e+00,8.787729324218394953e-04,1.004698134043782165e+00,1.004984740868564597e+00,9.987312649008839305e-01,1.010332870073585410e+00
7.065650706368666434e+00,8.468938983908169639e-04,1.004859913577485830e+00,1.005067209578012211e+00,9.987000900884516197e-01,1.009581412399878975e+00
7.090650706368665901e+00,8.131602296582035334e-04,1.004918403961056805e+00,1.005062572174730384e+00,9.988861985426039647e-01,1.008616711916983100e+00
7.115650706368666256e+00,7.805539384415408587e-04,1.004824950310295950e+00,1.004927985448341721e+00,9.992846767636556216e-01,1.007492387582908488e+00
7.140650706368665723e+00,7.519849731669671789e-04,1.004550297217754684e+00,1.004637504781799917e+00,9.998637843056832342e-01,1.006285842868459124e+00
7.165650706368666079e+00,7.298801782772640703e-04,1.004088925885070260e+00,1.004185872584114847e+00,1.000568458091297241e+00,1.005088140316458434e+00
7.190650706368666434e+00,7.158350449233903722e-04,1.003460323826892209e+00,1.003589602306479422e+00,1.001326847403053444e+00,1.003991774659688696e+00
7.215650706368665901e+00,7.103776269021344712e-04,1.002706953360349429e+00,1.002885165849993765e+00,1.002059110592194102e+00,1.003077971107022126e+00
7.240650706368666256e+00,7.128790540345069336e-04,1.001889116840160243e+00,1.002124474332862336e+00,1.002687404712069741e+00,1.002405235890227786e+00
7.265650706368665723e+00,7.216251553723814546e-04,1.001077331936341519e+00,1.001368206394915639e+00,1.003145827529897893e+00,1.002000754127862159e+00
7.290650706368666079e+00,7.340414634960250361e-04,1.000343173943063046e+00,1.000677835728930543e+00,1.003389052524664038e+00,1.001855877217422197e+00
7.315650706368666434e+00,7.470423563469992794e-04,9.997497665246189991e-01,1.000107398979896756e+00,1.003398537826875492e+00,1.001926410701376113e+00
7.340650706368665901e+00,7.574573283695453223e-04,9.993431743625610375e-01,9.996960986260222670e-01,1.003185475489508427e+00,1.002137772509475777e+00
7.365650706368666256e+00,7.624759283167253368e-04,9.991458576632381572e-01,9.994627430001781221e-01,1.002790044421867144e+00,1.002394426814938511e+00
7.390650706368665723e+00,7.600494614981541993e-04,9.991530987158735444e-01,9.994027972905334956e-01,1.002276989655163320e+00,1.002592402104439673e+00
7.415650706368666079e+00,7.491927084222174595e-04,9.993329356550265663e-01,9.994884842238714873e-01,1.001728014188958404e+00,1.002633257191679839e+00
7.440650706368666434e+00,7.301420180635818024e-04,9.996296867494527394e-01,9.996719751902588547e-01,1.001231878316196866e+00,1.002437629230732430e+00
7.465650706368665901e+00,7.043454279130358358e-04,9.999706789580945498e-01,9.998913044495464364e-01,1.000873402939789436e+00,1.001956517241311628e+00
7.490650706368666256e+00,6.742833244108704764e-04,1.000275368501184481e+00,1.000078274593961147e+00,1.000722729729756288e+00,1.001178723194391829e+00
7.515650706368665723e+00,6.431414916211505416e-04,1.000465714216164370e+00,1.000167348392040356e+00,1.000826182110810203e+00,1.000133356916408811e+00
7.540650706368666079e+00,6.143790593306165584e-04,1.000476479118924900e+00,1.000104376233797998e+00,1.001199897211635381e+00,9.988869493110938969e-01
7.565650706368666434e+00,5.912490672279443115e-04,1.000264116826824257e+00,9.998540092580887606e-01,1.001827079648982100e+00,9.975354291504529014e-01
7.590650706368665901e+00,5.763370195976168318e-04,9.998130520495451812e-01,9.994047974149266045e-01,1.002659299703884122e+00,9.961919107316604682e-01
7.615650706368666256e+00,5.711817714472025923e-04,9.991384723143850177e-01,9.987712526531482560e-01,1.003621770131613689e+00,9.949718229131068181e-01
7.640650706368665723e+00,5.760333111155776283e-04,9.982851764778158943e-01,9.979925372280890050e-01,1.004622044325512498e+00,9.939773059649154030e-01
7.665650706368666079e+00,5.897845629800351928e-04,9.973225236910940872e-01,9.971278698736756319e-01,1.005561142632633409e+00,9.932829541375239879e-01
7.690650706368666434e+00,6.100913456874077325e-04,9.963360330967592216e-01,9.962491741790593380e-01,1.006345787792902513e+00,9.929248609922493030e-01
7.715650706368665901e+00,6.336690304809939299e-04,9.954166347081867539e-01,9.954318678819963351e-01,1.006900258348700117e+00,9.928945380514924146e-01
7.740650706368666256e+00,6.567296739591542117e-04,9.946489051604967546e-01,9.947449580339248199e-01,1.007176377010666979e+00,9.931386678664234635e-01
7.765650706368665723e+00,6.755029024103447171e-04,9.940997906974359255e-01,9.942417265929386350e-01,1.007160344205039193e+00,9.935648952088035335e-01
7.790650706368666079e+00,6.867705848479312191e-04,9.938092965857953098e-01,9.939522439676344856e-01,1.006875486410273579e+00,9.940530533692035764e-01
7.815650706368666434e+00,6.883414022814120410e-04,9.937844050858726241e-01,9.938787366421060199e-01,1.006380473060804137e+00,9.944704753489403970e-01
7.840650706368665901e+00,6.793975859360686402e-04,9.939970975339099679e-01,9.939944842020395077e-01,1.005763106020215680e+00,9.946894554587787374e-01
7.865650706368666256e+00,6.606617298271065140e-04,9.943868477749195911e-01,9.942464752230670832e-01,1.005130333737247028e+00,9.946045880506414472e-01
7.890650706368665723e+00,6.343547272493267912e-04,9.948673885191612332e-01,9.945615680335383457e-01,1.004595620005181100e+00,9.941476664679578246e-01
7.915650706368666079e+00,6.039435385389609447e-04,9.953370010936962720e-01,9.948554436823576763e-01,1.004265145638632228e+00,9.932980868511983585e-01
7.940650706368666434e+00,5.737060575035358946e-04,9.956911122277178894e-01,9.950432633102951341e-01,1.004224497556174267e+00,9.920872380738355867e-01
7.965650706368665901e+00,5.481660667160845844e-04,9.958356577783664676e-01,9.950506983959526153e-01,1.004527481631687591e+00,9.905961055769056944e-01
7.990650706368666256e+00,5.314707553762270959e-04,9.956995340979030162e-01,9.948239216292118492e-01,1.005188483384361398e+00,9.889461818697345974e-01
8.015650706368665723e+00,5.267938461336991399e-04,9.952445230555799771e-01,9.943372407706362326e-01,1.006179415532151067e+00,9.872846536849534393e-01
8.040650706368666079e+00,5.358473959964981737e-04,9.944713433990184370e-01,9.935973198568437414e-01,1.007431773728574065e+00,9.857656158576452166e-01
8.065650706368666434e+00,5.585743852867558912e-04,9.934209230674121427e-01,9.926433341097941065e-01,1.008843726512884675e+00,9.845296442213935517e-01
